Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2879,LEGO Rock Band,Wii,2009,0.42,0.22,0,0.07,0.71
3425,Game Party in Motion,X360,2010,0.36,0.18,0,0.05,0.59
3556,LEGO Rock Band,X360,2009,0.4,0.12,0,0.05,0.57
3781,Sesame Street: Once Upon A Monster,X360,2011,0.39,0.1,0,0.04,0.53
4278,LEGO Rock Band,DS,2009,0.33,0.09,0,0.04,0.46
4577,LEGO Rock Band,PS3,2009,0.24,0.13,0,0.06,0.42
4943,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,0.37,0,0,0.02,0.39
5708,Sesame Street: Cookie's Counting Carnival,Wii,2010,0.29,0,0,0.02,0.31
6179,Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,0.27,0,0,0.02,0.28
6221,Sesame Street: Cookie's Counting Carnival,DS,2010,0.26,0,0,0.02,0.28
9151,Scene It? Bright Lights! Big Screen!,Wii,2009,0.13,0,0,0.01,0.14
9292,Scene It? Bright Lights! Big Screen!,X360,2009,0.12,0,0,0.01,0.14
9411,Scene It? Bright Lights! Big Screen!,PS3,2009,0.1,0.01,0,0.01,0.13
9871,Vacation Isle: Beach Party,Wii,2010,0.09,0.02,0,0.01,0.12
10204,"Sesame Street: Ready, Set, Grover!",Wii,2011,0.1,0,0,0.01,0.11
10391,The Bachelor: The Videogame,Wii,2010,0.1,0,0,0.01,0.11
11154,The Bachelor: The Videogame,DS,2010,0.08,0,0,0.01,0.09
11280,"Sesame Street: Ready, Set, Grover!",DS,2011,0.08,0,0,0.01,0.08
12790,Friends: The One with All the Trivia,PS2,2005,0.03,0.02,0,0.01,0.06
13199,Sesame Street: Cookie's Counting Carnival,PC,2010,0.05,0,0,0,0.05
13420,Sesame Street: Elmo's A-to-Zoo Adventure,PC,2010,0.04,0,0,0,0.05
15256,Canimal Triple,PSV,2014,0,0.02,0,0,0.02
