Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5353,Risk / Battleship / Clue,GBA,2005,0.25,0.09,0,0.01,0.34
6383,Connect Four / Perfection / Trouble,GBA,2005,0.19,0.07,0,0,0.27
6762,Sorry! / Aggravation / Scrabble Junior,GBA,2005,0.18,0.07,0,0,0.25
7107,Bicycle Casino 2005,XB,2004,0.17,0.05,0,0.01,0.23
7291,Order Up!,Wii,2008,0.19,0.01,0,0.02,0.22
7535,CandyLand / Chutes & Ladders / Memory,GBA,2005,0.15,0.05,0,0,0.2
7778,Dream Salon,DS,2009,0.18,0,0,0.01,0.19
8133,The Game of Life / Yahtzee / Payday,GBA,2005,0.13,0.05,0,0,0.18
9364,Paperboy / Rampage,GBA,2005,0.1,0.04,0,0,0.13
10132,Pac-Man Pinball Advance,GBA,2005,0.08,0.03,0,0,0.11
10523,UNO / Skip-Bo / UNO Freefall,DS,2006,0.1,0,0,0.01,0.1
11832,Pong / Asteroids / Yars' Revenge,GBA,2005,0.05,0.02,0,0,0.07
12192,Centipede / Breakout / Warlords,GBA,2005,0.05,0.02,0,0,0.07
12754,Scrabble Blast!,GBA,2005,0.04,0.01,0,0,0.06
13476,Millipede / Super Breakout / Lunar Lander,GBA,2005,0.03,0.01,0,0,0.04
13519,M&M's Beach Party,Wii,2009,0.04,0,0,0,0.04
14827,Gauntlet / Rampart,GBA,2005,0.02,0.01,0,0,0.03
15945,UNO 52,DS,2006,0.01,0,0,0,0.02
