Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1506,Deal or No Deal,Wii,2009,1.22,0,0,0.09,1.31
5625,Minute to Win It,X360,2011,0.3,0,0,0.02,0.32
5766,Calvin Tucker's Redneck Jamboree,Wii,2008,0.29,0,0,0.02,0.31
6503,Minute to Win It,Wii,2010,0.25,0,0,0.02,0.26
9863,Minute to Win It,DS,2010,0.11,0,0,0.01,0.12
12046,Dream Dance & Cheer,Wii,2009,0.06,0,0,0,0.07
12210,Cold Stone Creamery: Scoop It Up,Wii,2009,0.06,0,0,0,0.07
12234,Chocolatier,DS,2010,0.06,0,0,0,0.07
13049,Dream Salon,Wii,2009,0.05,0,0,0,0.05
13779,Deal or No Deal: Special Edition,DS,2010,0.04,0,0,0,0.04
16120,Games Around the World,DS,2010,0.01,0,0,0,0.01
