Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
240,Pitfall!,2600,1981,4.21,0.24,0,0.05,4.5
677,Skylanders SWAP Force,Wii,2013,1.32,0.83,0,0.2,2.34
927,Shrek 2,PS2,2004,1.12,0.69,0.03,0.02,1.86
1044,Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998,0.99,0.64,0,0.08,1.71
1471,Skylanders SWAP Force,X360,2013,0.86,0.36,0,0.11,1.33
1507,Madagascar,PS2,2005,0.78,0.45,0,0.07,1.31
1510,Pitfall II: Lost Caverns,2600,1983,1.22,0.07,0,0.02,1.31
1932,Skylanders SWAP Force,PS3,2013,0.43,0.44,0,0.2,1.07
2032,Shrek 2,GC,2004,0.73,0.26,0.01,0.03,1.02
2237,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,0.71,0.2,0,0.01,0.93
2314,Spider-Man 3,PS2,2007,0.74,0.03,0.01,0.12,0.9
2326,Madagascar,GBA,2005,0.62,0.24,0,0.03,0.89
2982,Spider-Man 3,PS3,2007,0.26,0.29,0.02,0.12,0.68
3067,Madagascar,GC,2005,0.52,0.13,0,0.02,0.66
3153,X2: Wolverine's Revenge,PS2,2003,0.31,0.24,0,0.08,0.64
3182,Lemony Snicket's A Series of Unfortunate Events,PS2,2004,0.31,0.24,0,0.08,0.64
3205,A Bug's Life,N64,1998,0.49,0.13,0,0.01,0.63
3236,Buzz Lightyear of Star Command,PS,2000,0.35,0.24,0,0.04,0.63
3364,Skylanders SWAP Force,WiiU,2013,0.4,0.15,0,0.06,0.6
3509,Spider-Man 3,X360,2007,0.49,0.04,0,0.04,0.57
3670,Shrek 2,XB,2004,0.4,0.13,0,0.02,0.55
3746,Over the Hedge,PS2,2006,0.45,0.02,0,0.07,0.54
4132,Spider-Man 3,Wii,2007,0.42,0.02,0,0.04,0.48
4185,Spider-Man 3,DS,2007,0.41,0.02,0,0.04,0.47
4245,Stuart Little 2,GBA,2002,0.33,0.12,0,0.01,0.46
4613,Lemony Snicket's A Series of Unfortunate Events,GBA,2004,0.3,0.11,0,0.01,0.42
5157,Skylanders SWAP Force,PS4,2013,0.2,0.12,0,0.05,0.37
5345,Over the Hedge,GC,2006,0.27,0.07,0,0.01,0.35
5514,Pitfall 3D: Beyond the Jungle,PS,1998,0.18,0.12,0,0.02,0.33
5729,Shrek: Forever After,DS,2010,0.19,0.1,0,0.03,0.31
5777,Madagascar,DS,2005,0.25,0.04,0,0.03,0.31
5809,Skylanders SWAP Force,XOne,2013,0.22,0.06,0,0.02,0.31
5853,Shrek: Forever After,Wii,2010,0.19,0.09,0,0.03,0.3
5862,Spider-Man 3,PSP,2007,0.01,0.23,0,0.06,0.3
6214,Over the Hedge,DS,2006,0.25,0.01,0,0.02,0.28
6225,Madagascar,XB,2005,0.21,0.06,0,0.01,0.28
6326,Over the Hedge,GBA,2006,0.19,0.07,0,0,0.27
6580,Lemony Snicket's A Series of Unfortunate Events,GC,2004,0.2,0.05,0,0.01,0.26
6828,Skylanders SWAP Force,3DS,2013,0.1,0.12,0,0.02,0.24
7494,X2: Wolverine's Revenge,XB,2003,0.15,0.04,0,0.01,0.21
7560,Pitfall: The Lost Expedition,PS2,2004,0.1,0.08,0,0.03,0.2
7582,X2: Wolverine's Revenge,GBA,2003,0.14,0.05,0,0,0.2
7621,Disney's Tarzan,N64,2000,0.16,0.04,0,0,0.2
7794,Shrek: Forever After,PS3,2010,0.16,0.02,0,0.02,0.19
9402,Over the Hedge: Hammy Goes Nuts!,DS,2006,0.12,0,0,0.01,0.13
9521,Spider-Man: Battle for New York,DS,2006,0.12,0,0,0.01,0.13
9730,Lemony Snicket's A Series of Unfortunate Events,XB,2004,0.09,0.03,0,0,0.12
9806,X2: Wolverine's Revenge,GC,2003,0.09,0.02,0,0,0.12
10421,Squinkies 2: Adventure Mall Surprize!,DS,2011,0.1,0,0,0.01,0.1
10495,Shrek: Forever After,X360,2010,0.09,0,0,0.01,0.1
10671,Over the Hedge,XB,2006,0.07,0.02,0,0,0.1
11057,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,0.06,0.02,0,0,0.09
11173,SpongeBob: HeroPants,X360,2015,0.08,0,0,0.01,0.09
11665,Pitfall: The Lost Expedition,GC,2004,0.06,0.02,0,0,0.08
11905,Pitfall: The Lost Expedition,GBA,2003,0.05,0.02,0,0,0.07
12052,Pitfall: The Lost Expedition,XB,2004,0.05,0.01,0,0,0.07
13019,SpongeBob: HeroPants,PSV,2015,0.03,0.01,0,0.01,0.05
13073,Over the Hedge: Hammy Goes Nuts!,PSP,2006,0.05,0,0,0,0.05
14152,SpongeBob: HeroPants,3DS,2015,0.03,0,0,0,0.03
15305,Spider-Man 3,PC,2007,0.02,0,0,0,0.02
