Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1011,Disney's Aladdin,SNES,1993,0.94,0.34,0.21,0.27,1.75
1091,Disney's DuckTales,NES,1989,0.91,0.3,0.42,0.04,1.67
1352,Disney's DuckTales,GB,1988,0.82,0.23,0.35,0.03,1.43
1659,The Magical Quest starring Mickey Mouse,SNES,1992,0.66,0.17,0.35,0.03,1.21
1697,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,0.68,0.14,0.35,0.02,1.19
1718,Super Ghouls 'n Ghosts,SNES,1991,0.5,0.14,0.52,0.02,1.18
1728,Mega Man 3,NES,1990,0.68,0.1,0.39,0,1.17
1753,Mega Man X,SNES,1993,0.57,0.08,0.5,0.01,1.16
2235,Mega Man 4,NES,1991,0.51,0.09,0.32,0.01,0.93
2356,Mega Man 8 Anniversary Collector's Edition,PS,1996,0.44,0.3,0.09,0.06,0.88
2549,Mega Man,NES,1987,0.45,0.08,0.27,0.01,0.81
2612,Mega Man 5,NES,1992,0.39,0.07,0.32,0.01,0.79
2682,Maximo: Ghosts to Glory,PS2,2001,0.38,0.29,0,0.1,0.77
2736,Mega Man X5,PS,2000,0.3,0.21,0.2,0.05,0.75
3428,Mega Man Anniversary Collection,PS2,2004,0.29,0.22,0,0.08,0.59
3664,Mega Man Zero,GBA,2002,0.22,0.08,0.24,0.01,0.55
3846,Mega Man 6,NES,1993,0.28,0.07,0.16,0.01,0.52
4523,Mega Man Zero 2,GBA,2003,0.18,0.07,0.17,0.01,0.43
4634,Mega Man Anniversary Collection,GC,2004,0.32,0.08,0,0.01,0.42
5138,Bionic Commando,PS3,2009,0.12,0.17,0.01,0.07,0.37
5256,Mega Man Zero Collection,DS,2010,0.21,0.02,0.11,0.02,0.36
5305,Mega Man ZX Advent,DS,2007,0.23,0,0.09,0.02,0.35
5752,Mega Man Maverick Hunter X,PSP,2005,0.27,0.01,0,0.03,0.31
5934,Mega Man ZX,DS,2006,0.18,0,0.1,0.02,0.3
6018,Mega Man X8,PS2,2004,0.14,0.11,0,0.04,0.29
6192,Bionic Commando,X360,2009,0.12,0.12,0.01,0.03,0.28
7058,Mega Man & Bass,GBA,2002,0.16,0.06,0,0,0.23
7200,Mega Man Zero 3,GBA,2004,0.16,0.06,0,0,0.22
7400,Maximo vs Army of Zin,PS2,2003,0.1,0.08,0,0.03,0.21
7723,Mega Man Legacy Collection,3DS,2016,0.13,0,0.05,0.02,0.2
8403,Mega Man Network Transmission,GC,2003,0.13,0.03,0,0,0.17
8999,Mega Man Powered Up,PSP,2006,0.12,0.01,0,0.02,0.14
9226,RockMan & Forte,SNES,1998,0,0,0.14,0,0.14
9466,Mega Man Anniversary Collection,XB,2005,0.1,0.03,0,0,0.13
10350,Mega Man Zero 4,GBA,2005,0.08,0.03,0,0,0.11
11213,Famicom Mini: Makaimura,GBA,2004,0,0,0.08,0,0.09
11419,Ultimate Ghosts 'n Goblins,PSP,2006,0.07,0.01,0,0.01,0.08
11744,Mega Man Legacy Collection,PS4,2016,0.06,0,0,0.01,0.07
11769,Super Ghouls 'n Ghosts,GBA,2002,0.05,0.02,0,0,0.07
11801,Mega Man Xtreme,GB,2000,0,0,0.07,0,0.07
11818,Mega Man Xtreme 2,GB,2001,0,0,0.07,0,0.07
12805,Mega Man 8 Anniversary Collector's Edition,SAT,1997,0,0,0.06,0,0.06
13263,Ultimate Ghosts 'n Goblins (JP sales),PSP,2006,0,0,0.05,0,0.05
14545,Disney's Aladdin,GBA,2003,0.02,0.01,0,0,0.03
16253,Strider (2014),PS3,2014,0,0,0.01,0,0.01
16257,Goku Makaimura Kai,PSP,2007,0,0,0.01,0,0.01
