Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
461,Epic Mickey,Wii,2010,2.06,0.64,0.12,0.22,3.04
2941,Disney's Chicken Little,GBA,2005,0.5,0.18,0,0.01,0.7
2970,Frozen: Olaf's Quest,DS,2013,0.28,0.35,0,0.06,0.69
3087,Disney's Kim Possible 2: Drakken's Demise,GBA,2004,0.47,0.17,0,0.01,0.66
3104,Disney's Chicken Little,PS2,2005,0.32,0.25,0,0.08,0.65
3166,The Princess and the Frog,DS,2009,0.41,0.17,0,0.06,0.64
3463,Frozen: Olaf's Quest,3DS,2013,0.27,0.26,0,0.05,0.58
4198,The Princess and the Frog,Wii,2009,0.29,0.13,0,0.04,0.47
4239,Disney's Kim Possible 3: Team Possible,GBA,2005,0.33,0.12,0,0.01,0.46
5536,Spy Kids 3-D: Game Over,GBA,2003,0.24,0.09,0,0.01,0.33
5848,Lizzie McGuire 3: Homecoming Havoc,GBA,2005,0.22,0.08,0,0.01,0.3
6328,Disney's Chicken Little,GC,2005,0.21,0.05,0,0.01,0.27
6641,Spy Kids Challenger,GBA,2002,0.18,0.07,0,0,0.25
9188,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005,0.1,0.04,0,0,0.14
9206,Disney's Chicken Little,XB,2005,0.1,0.03,0,0,0.14
9312,Disney's Cinderella: Magical Dreams,GBA,N/A,0.1,0.04,0,0,0.14
9390,Disney's Kim Possible: Kimmunicator,DS,2005,0.11,0.01,0,0.01,0.13
9530,Walt Disney Pictures Presents: The Wild,GBA,2006,0.09,0.03,0,0,0.13
12244,Walt Disney Pictures Presents Enchanted,DS,2007,0.04,0.01,0,0.01,0.07
12456,Disney's Kim Possible: Global Gemini,DS,2007,0.05,0.01,0,0,0.06
