Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4834,Bugs Bunny: Lost in Time,PS,1999,0.22,0.15,0,0.03,0.4
8497,Zapper: One Wicked Cricket!,PS2,2002,0.08,0.06,0,0.02,0.16
9035,Klonoa: Empire of Dreams,GBA,2001,0.1,0.04,0,0,0.14
9112,Zapper: One Wicked Cricket!,GBA,2002,0.1,0.04,0,0,0.14
9581,Zapper: One Wicked Cricket!,GC,2002,0.1,0.03,0,0,0.13
9800,Looney Tunes: Sheep Raider,PS,2001,0.07,0.05,0,0.01,0.12
12904,Zapper: One Wicked Cricket!,XB,2002,0.04,0.01,0,0,0.05
13118,Chameleon Twist 2,N64,1998,0.04,0.01,0,0,0.05
13744,Looney Tunes Duck Dodgers Starring: Daffy Duck,N64,2000,0.03,0.01,0,0,0.04
14495,Starshot: Space Circus Fever,N64,1998,0.02,0.01,0,0,0.03
