Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1553,Castlevania: Symphony of the Night,PS,1997,0.58,0.4,0.21,0.08,1.27
1613,Frogger: The Great Quest,PS2,2001,0.6,0.47,0,0.16,1.23
1625,Castlevania,NES,1986,0.54,0.06,0.62,0.01,1.23
1678,Ganbare Goemon! Karakuri Douchuu,NES,1986,0,0,1.2,0,1.2
2236,Castlevania II: Simon's Quest,NES,1987,0.45,0.06,0.42,0,0.93
2332,Castlevania: Circle of the Moon,GBA,2001,0.6,0.22,0.05,0.02,0.89
2441,Castlevania III: Dracula's Curse,NES,1989,0.4,0.07,0.37,0.01,0.85
3159,Castlevania,N64,1999,0.44,0.1,0.04,0.05,0.64
3206,Super Castlevania IV,SNES,1991,0.32,0.05,0.25,0.01,0.63
4164,Castlevania: Dawn of Sorrow,DS,2005,0.37,0.04,0.03,0.04,0.47
4537,Castlevania: Portrait of Ruin,DS,2006,0.33,0.03,0.04,0.03,0.43
4670,Castlevania: The Dracula X Chronicles,PSP,2007,0.22,0.09,0.04,0.07,0.42
4709,Castlevania: Order of Ecclesia,DS,2008,0.31,0.03,0.04,0.03,0.41
5254,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,0,0,0.36,0,0.36
5641,Frogger's Adventures: The Rescue,PS2,2003,0.16,0.12,0,0.04,0.32
5716,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,1995,0,0,0.31,0,0.31
5756,Goemon's Great Adventure,N64,1998,0.06,0.02,0.13,0.1,0.31
5801,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,0,0,0.31,0,0.31
6252,Castlevania: Aria of Sorrow,GBA,2003,0.2,0.07,0,0,0.28
6602,Castlevania: Harmony of Dissonance,GBA,2002,0.16,0.06,0.04,0,0.26
7429,Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,2004,0,0,0.2,0.01,0.21
7845,Death Jr.,PSP,2005,0.17,0,0,0.01,0.19
8547,Dewy's Adventure,Wii,2007,0.14,0,0.01,0.01,0.16
8793,Frogger's Adventures: The Rescue,GC,2003,0.12,0.03,0,0,0.15
9341,Castlevania Chronicles,PS,2001,0.07,0.05,0,0.01,0.13
9428,Frogger Beyond,GC,2002,0.1,0.03,0,0,0.13
9483,Castlevania: Legacy of Darkness,N64,1999,0.06,0.02,0.05,0,0.13
9804,Lost in Shadow,Wii,2010,0.1,0,0.01,0.01,0.12
10243,Frogger: Helmet Chaos,PSP,2005,0.1,0,0,0.01,0.11
10457,Frogger: Ancient Shadow,PS2,2005,0.05,0.04,0,0.01,0.1
10790,Castlevania Double Pack,GBA,2006,0.07,0.03,0,0,0.1
11049,Castlevania Dracula X,SNES,1995,0.03,0.01,0.05,0,0.09
11373,Death Jr. and the Science Fair of Doom,DS,2007,0.08,0,0,0.01,0.08
11657,Frogger Beyond,XB,2002,0.06,0.02,0,0,0.08
12287,Frogger: Helmet Chaos,DS,2005,0.06,0,0,0,0.06
12654,Pop'n TwinBee: Rainbow Bell Adventure,SNES,1993,0,0,0.06,0,0.06
12820,Death Jr. II: Root of Evil,PSP,2006,0.05,0,0,0,0.06
13321,Frogger: Ancient Shadow,GC,2005,0.04,0.01,0,0,0.05
14095,Castlevania Bloodlines,GEN,1994,0,0,0.04,0,0.04
14740,Frogger: Ancient Shadow,XB,2005,0.02,0.01,0,0,0.03
