Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4768,"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005,0.34,0.01,0,0.06,0.41
6127,Haven: Call of the King,PS2,N/A,0.14,0.11,0,0.04,0.28
6741,"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,0.19,0.05,0,0.01,0.25
8540,Dr. Muto,PS2,2002,0.08,0.06,0,0.02,0.16
9733,The Ant Bully,GC,2006,0.09,0.02,0,0,0.12
9874,"Ed, Edd n Eddy: The Mis-Edventures",GBA,2005,0.08,0.03,0,0,0.12
10575,The Ant Bully,PS2,2006,0.05,0.04,0,0.01,0.1
11146,The Ant Bully,Wii,2006,0.08,0,0,0.01,0.09
12750,Dr. Muto,XB,2002,0.04,0.01,0,0,0.06
13532,Justice League: Chronicles,GBA,2003,0.03,0.01,0,0,0.04
14068,The Ant Bully,GBA,2006,0.03,0.01,0,0,0.04
14396,Dr. Muto,GC,2002,0.02,0.01,0,0,0.03
14978,"Ed, Edd n Eddy: The Mis-Edventures",XB,2005,0.02,0.01,0,0,0.02
15658,Ozzy & Drix,GBA,2003,0.01,0,0,0,0.02
