Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2957,Mappy,NES,1984,0,0,0.69,0,0.69
4244,Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993,0,0,0.46,0,0.46
7382,Pac-Man World 3,PS2,2005,0.1,0.08,0,0.03,0.21
8184,Pac-Man World 3,DS,2005,0.16,0,0,0.01,0.18
8440,Klonoa,Wii,2008,0.11,0.02,0.03,0.01,0.17
8803,Naruto: Powerful Shippuden,3DS,2012,0.08,0.02,0.04,0.01,0.15
8926,Pac-Man World 3,XB,2005,0.11,0.04,0,0.01,0.15
10015,Pac 'n Roll,DS,2005,0.09,0,0.02,0.01,0.11
10842,Pac-Man World 3,GC,2005,0.07,0.02,0,0,0.09
10865,PAC-MAN and the Ghostly Adventures,3DS,2013,0.05,0.04,0,0.01,0.09
10939,I-Ninja,GC,2003,0.07,0.02,0,0,0.09
11188,PAC-MAN and the Ghostly Adventures,PS3,2013,0.03,0.04,0,0.01,0.09
11306,PAC-MAN and the Ghostly Adventures,X360,2013,0.04,0.03,0,0.01,0.08
11674,Pac-Man World 3,PSP,2005,0.07,0,0,0.01,0.08
11819,I-Ninja,XB,2003,0.05,0.02,0,0,0.07
12898,Shaman King: Soul Fight,GC,2003,0,0,0.05,0,0.05
13108,PAC-MAN and the Ghostly Adventures,WiiU,2013,0.04,0.01,0,0,0.05
13394,The Berenstain Bears and the Spooky Old Tree,GBA,2005,0.03,0.01,0,0,0.05
14479,Klonoa 2: Dream Champ Tournament,GBA,2002,0.02,0.01,0,0,0.03
