Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2,Super Mario Bros.,NES,1985,29.08,3.58,6.81,0.77,40.24
7,New Super Mario Bros.,DS,2006,11.38,9.23,6.5,2.9,30.01
9,New Super Mario Bros. Wii,Wii,2009,14.59,7.06,4.7,2.26,28.62
19,Super Mario World,SNES,1990,12.78,3.75,3.54,0.55,20.61
22,Super Mario Land,GB,1989,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,1988,9.54,3.44,3.84,0.46,17.28
47,Super Mario 64,N64,1996,6.91,2.85,1.91,0.23,11.89
49,Super Mario Galaxy,Wii,2007,6.16,3.4,1.2,0.76,11.52
54,Super Mario 3D Land,3DS,2011,4.89,2.99,2.13,0.78,10.79
58,Super Mario All-Stars,SNES,1993,5.99,2.15,2.12,0.29,10.55
60,Super Mario 64,DS,2004,5.08,3.11,1.25,0.98,10.42
65,New Super Mario Bros. 2,3DS,2012,3.66,3.07,2.47,0.63,9.82
72,Donkey Kong Country,SNES,1994,4.36,1.71,3,0.23,9.3
92,Super Mario Galaxy 2,Wii,2010,3.66,2.42,0.98,0.64,7.69
97,Super Mario Bros. 2,NES,1988,5.39,1.18,0.7,0.19,7.46
126,Donkey Kong Country Returns,Wii,2010,3.25,1.84,1.03,0.47,6.59
136,Super Mario Sunshine,GC,2002,4.01,1.26,0.87,0.17,6.31
163,Super Mario Advance,GBA,2001,3.14,1.24,0.91,0.2,5.49
165,Super Mario World,GBA,2001,3.21,1.11,0.95,0.2,5.46
176,Donkey Kong 64,N64,1999,3.33,0.79,1.09,0.06,5.27
183,Super Mario Bros. 3,GBA,2003,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,WiiU,2012,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,GB,1994,2.49,0.98,1.57,0.15,5.19
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,2.1,0.74,2.2,0.11,5.15
192,Kirby's Dream Land,GB,1992,2.71,0.61,1.7,0.11,5.13
201,Super Mario Bros.,GB,1999,3.4,1.3,0.15,0.22,5.07
262,Super Mario 3D World,WiiU,2013,2.11,1.11,0.72,0.3,4.25
283,Super Mario World 2: Yoshi's Island,SNES,1995,1.65,0.61,1.76,0.09,4.12
306,Donkey Kong Land,GB,1994,1.97,0.76,1.07,0.11,3.91
330,Super Paper Mario,Wii,2007,1.98,0.88,0.59,0.32,3.76
342,Banjo-Kazooie,N64,1998,1.87,1.13,0.55,0.1,3.65
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,1.17,0.5,1.75,0.08,3.51
430,Super Mario Maker,WiiU,2015,1.18,0.87,0.93,0.2,3.18
456,Donkey Kong,GB,1994,1.57,0.62,0.55,0.34,3.07
482,Kirby Super Star Ultra,DS,2008,1.57,0.04,1.19,0.15,2.96
493,Super Mario World 2: Yoshi's Island,GBA,2002,1.75,0.45,0.62,0.09,2.91
511,Yoshi's Story,N64,1997,1.29,0.53,0.98,0.05,2.85
527,Yoshi's Island DS,DS,2006,1.47,0.07,1.1,0.15,2.8
574,Super Mario Bros.: The Lost Levels,NES,1986,0,0,2.65,0,2.65
588,Super Mario All-Stars: Limited Edition,Wii,2010,1.02,0.52,0.92,0.14,2.6
672,Kirby's Dream Land 2,GB,1995,0.69,0.14,1.48,0.05,2.36
