Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
144,Sonic the Hedgehog 2,GEN,1992,4.47,1.2,0.16,0.19,6.03
255,Sonic the Hedgehog,GEN,1991,3.03,0.91,0.26,0.13,4.34
438,Sonic Rush,DS,2005,1.22,1.57,0.06,0.29,3.15
481,Sonic Heroes,PS2,2003,1.04,1.37,0.06,0.49,2.96
543,Sonic and the Secret Rings,Wii,2007,1.24,1.2,0.04,0.3,2.77
602,Sonic Adventure 2 Battle,GC,2001,1.7,0.59,0.21,0.07,2.56
638,Sonic Adventure,DC,1998,1.26,0.61,0.46,0.08,2.42
722,Sonic Advance,GBA,2001,1.19,0.71,0.22,0.13,2.24
740,Sonic Unleashed,Wii,2008,1.28,0.68,0.02,0.21,2.2
861,Sonic Classic Collection,DS,2010,0.99,0.8,0,0.18,1.97
954,Sonic & Knuckles,GEN,1994,1.24,0.43,0.03,0.12,1.82
965,Sonic Advance 2,GBA,2002,0.93,0.59,0.21,0.07,1.8
993,Sonic the Hedgehog 3,GEN,1994,1.02,0.47,0.2,0.07,1.76
1021,Sonic Colors,Wii,2010,0.96,0.61,0.01,0.16,1.74
1129,Sonic Generations,PS3,2011,0.6,0.73,0.02,0.28,1.63
1159,Sonic Heroes,GC,2003,1.05,0.44,0.06,0.04,1.6
1263,Sonic CD,SCD,1993,1,0.36,0.09,0.05,1.5
1361,Sonic Generations,X360,2011,0.71,0.57,0,0.14,1.42
1420,Sonic Colors,DS,2010,0.74,0.5,0.01,0.13,1.37
1567,Sonic Adventure DX: Director's Cut,GC,2003,0.87,0.3,0.06,0.03,1.27
1717,Sonic the Hedgehog,PS3,2006,0.41,0.07,0.04,0.66,1.18
1726,Sonic Rush Adventure,DS,2007,0.54,0.49,0.01,0.12,1.17
1770,Sonic and the Black Knight,Wii,2009,0.69,0.35,0.01,0.11,1.15
1985,Sonic the Hedgehog,X360,2006,0.44,0.49,0,0.11,1.05
2016,Sonic Unleashed,PS3,2008,0.56,0.33,0.01,0.14,1.03
2046,Sonic Generations,3DS,2011,0.44,0.46,0.01,0.09,1.01
2103,Shadow The Hedgehog,GC,2005,0.76,0.2,0,0.03,0.99
2161,Sonic Unleashed,X360,2008,0.54,0.33,0,0.09,0.96
2309,Sonic Heroes,XB,2003,0.41,0.43,0.01,0.05,0.9
2688,Sonic Unleashed,PS2,2008,0.37,0.04,0,0.36,0.76
3339,Shadow The Hedgehog,PS2,2005,0.5,0.02,0,0.08,0.6
4034,Sonic Lost World,3DS,2013,0.24,0.15,0.07,0.03,0.49
4509,NiGHTS into dreams...,SAT,1996,0,0,0.43,0,0.43
4608,NiGHTS: Journey of Dreams,Wii,2007,0.33,0.03,0.04,0.03,0.42
4858,Sonic Lost World,WiiU,2013,0.24,0.12,0.01,0.03,0.4
6668,Billy Hatcher and the Giant Egg,GC,2003,0.19,0.05,0,0.01,0.25
7197,Shinobi,3DS,2011,0.14,0.07,0,0.02,0.22
8107,Shadow The Hedgehog,XB,2005,0.13,0.04,0,0.01,0.18
8826,Super Monkey Ball Adventure,GC,2006,0.12,0.03,0,0,0.15
9661,Sonic Jam,SAT,1997,0,0,0.12,0,0.12
9773,Crush3D,3DS,2012,0.07,0.04,0,0.01,0.12
9844,Sonic Adventure 2,DC,2001,0,0,0.12,0,0.12
10268,Sonic Generations,PC,2011,0.02,0.07,0,0.02,0.11
11024,Doraemon: Nobita to Midori no Kyojinden DS,DS,2008,0,0,0.09,0,0.09
11089,Clockwork Knight,SAT,1994,0,0,0.09,0,0.09
11375,Super Monkey Ball Adventure,PSP,2006,0.05,0.02,0,0.01,0.08
12696,Burning Rangers,SAT,1998,0,0,0.06,0,0.06
12947,Dynamite Headdy,GEN,1993,0,0,0.05,0,0.05
13527,Sonic the Hedgehog 2 (8-bit),GG,1992,0,0,0.04,0,0.04
14309,Sonic Boom: Fire & Ice,3DS,2016,0.03,0,0,0,0.03
14811,Super Monkey Ball Adventure,PS2,2006,0.01,0.01,0,0,0.03
16036,NiGHTS into dreams...,PS2,2008,0,0,0.01,0,0.01
