Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,3.78,2.17,1.31,0.31,7.58
107,Crash Bandicoot 3: Warped,PS,1998,3.68,1.75,1.42,0.28,7.13
117,Crash Bandicoot,PS,1996,3.23,2.35,0.94,0.3,6.82
149,LittleBigPlanet,PS3,2008,2.8,2.05,0.17,0.9,5.92
206,Spyro the Dragon,PS,1998,3.36,1.36,0.07,0.21,5
267,Daxter,PSP,2006,2.45,1.02,0,0.75,4.22
327,Ratchet & Clank: Size Matters,PSP,2007,1.4,1.4,0.1,0.87,3.77
334,Spyro: Year of the Dragon,PS,2000,1.93,1.58,0,0.19,3.71
346,Jak and Daxter: The Precursor Legacy,PS2,2001,2.08,1.09,0.15,0.33,3.64
369,Spyro 2: Ripto's Rage!,PS,1999,2.14,1.21,0.01,0.17,3.52
388,LittleBigPlanet 2,PS3,2011,1.82,1.07,0.06,0.47,3.42
405,Ratchet & Clank,PS2,2002,1.44,1.01,0.57,0.3,3.33
530,A Bug's Life,PS,1998,1.96,0.72,0,0.11,2.79
538,Jak II,PS2,2003,1.68,0.74,0,0.36,2.78
540,Ratchet & Clank: Going Commando,PS2,2003,1.44,0.83,0.26,0.25,2.78
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007,0.93,1.12,0.08,0.45,2.59
593,LittleBigPlanet,PSP,2009,0.64,1.24,0.01,0.69,2.58
598,Ratchet & Clank: Up Your Arsenal,PS2,2004,1.31,0.74,0.31,0.22,2.57
914,Ratchet & Clank Future: A Crack in Time,PS3,2009,1.05,0.54,0.03,0.26,1.88
931,LittleBigPlanet 3,PS4,2014,0.64,0.92,0.01,0.29,1.86
937,Jak 3,PS2,2004,1.33,0.49,0,0.03,1.85
963,Sly 2: Band of Thieves,PS2,2004,0.88,0.69,0,0.23,1.81
1131,Ape Escape,PS,1999,0.71,0.48,0.32,0.11,1.63
1298,LittleBigPlanet PS Vita,PSV,2012,0.4,0.72,0.02,0.33,1.47
1468,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,1.27,0.05,0,0.02,1.33
1657,Sly Cooper and the Thievius Raccoonus,PS2,2002,1.03,0.14,0,0.04,1.21
1729,Ratchet & Clank (2016),PS4,2016,0.32,0.64,0.04,0.18,1.17
1776,Ratchet & Clank: All 4 One,PS3,2011,0.75,0.22,0.05,0.12,1.15
2168,Shinobi,PS2,2002,0.36,0.28,0.22,0.09,0.96
2336,The Jak and Daxter Collection,PS3,2012,0.6,0.19,0,0.1,0.89
2496,Sly 3: Honor Among Thieves,PS2,2005,0.69,0.03,0,0.11,0.83
2503,MediEvil,PS,1998,0.46,0.31,0,0.05,0.83
2760,LittleBigPlanet 3,PS3,2014,0.2,0.43,0.01,0.11,0.75
2928,Ape Escape: On the Loose,PSP,2005,0.52,0.01,0.12,0.05,0.7
2961,The Sly Collection,PS3,2010,0.52,0.09,0.01,0.07,0.69
3215,Ape Escape 2,PS2,2002,0.12,0.09,0.38,0.03,0.63
3313,Jak and Daxter: The Lost Frontier,PSP,2009,0.18,0.27,0,0.15,0.61
3355,Secret Agent Clank,PS2,2009,0.13,0.18,0,0.29,0.6
3502,Ratchet & Clank: Quest for Booty,PS3,2008,0,0.53,0,0.04,0.58
3573,"Monsters, Inc. Scream Team",PS,2001,0.31,0.21,0,0.04,0.56
3657,Secret Agent Clank(US sales),PSP,2008,0.33,0.22,0,0,0.55
4281,Jak and Daxter: The Lost Frontier,PS2,2009,0.22,0.17,0,0.06,0.46
4865,I-Ninja,PS2,2003,0.19,0.15,0,0.05,0.4
4912,LocoRoco,PSP,2006,0.14,0.05,0.16,0.04,0.39
5186,LocoRoco 2,PSP,2008,0.21,0.09,0.01,0.05,0.36
5475,Klonoa 2: Lunatea's Veil,PS2,2001,0.12,0.1,0.08,0.03,0.33
5493,Little Deviants,PSV,2011,0.15,0.13,0,0.05,0.33
5816,Disney's The Emperor's New Groove,PS,2000,0.17,0.12,0,0.02,0.31
5844,Jumping Flash!,PS,1995,0.05,0.03,0.21,0.02,0.3
6001,Ratchet & Clank: Size Matters,PS2,2008,0.13,0.1,0.03,0.03,0.29
6083,Tomba! 2: The Evil Swine Return,PS,1999,0.16,0.11,0,0.02,0.29
6469,Tomba!,PS,1997,0.15,0.1,0,0.02,0.26
6620,Tearaway Unfolded,PS4,2015,0.09,0.12,0,0.04,0.25
6753,Jumping Flash! 2,PS,1996,0.05,0.03,0.15,0.02,0.25
8053,Klonoa: Door to Phantomile,PS,1997,0,0,0.17,0.01,0.18
8268,PlayStation Move Heroes,PS3,2011,0.08,0.06,0,0.03,0.17
8277,Disney's Atlantis: The Lost Empire,PS,2001,0.1,0.07,0,0.01,0.17
9494,Secret Agent Clank,PSP,2008,0.04,0.03,0.04,0.02,0.13
9507,Ape Escape 3,PS2,2005,0.06,0.05,0,0.02,0.13
11046,Ratchet & Clank Future: Quest for Booty,PS3,2008,0.01,0.06,0,0.02,0.09
11660,Stuart Little 3: Big Photo Adventure,PS2,2005,0.04,0.03,0,0.01,0.08
12194,Sly 2: Band of Thieves,PS3,2010,0,0.05,0,0.02,0.07
13439,Ape Escape,PS3,2010,0,0.03,0,0.01,0.05
14308,Saru! Get You! SaruSaru Daisakusen,PSP,2007,0,0,0.03,0,0.03
14790,Hermie Hopperhead: Scrap Panic,PS,1995,0,0,0.02,0,0.03
15014,Peter Pan in Disney's Return to Never Land,PS,2002,0.01,0.01,0,0,0.02
