Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
788,Scooby-Doo! Night of 100 Frights,PS2,2002,1.17,0.72,0,0.22,2.1
991,The SpongeBob SquarePants Movie,PS2,2004,1.06,0.54,0,0.16,1.76
1098,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,1.08,0.45,0,0.14,1.67
1291,Disney Princess,GBA,2003,1.04,0.37,0,0.06,1.47
1300,The SpongeBob SquarePants Movie,GBA,2004,1.02,0.38,0,0.06,1.46
1304,Wall-E,DS,2008,0.46,0.83,0,0.17,1.46
1386,Sonic Advance 3,GBA,2004,0.74,0.52,0.08,0.06,1.4
1623,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,0.88,0.33,0,0.02,1.23
1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,0.92,0.23,0,0.04,1.19
1780,Tak and the Power of Juju,PS2,2003,0.56,0.44,0,0.15,1.15
1897,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002,0.53,0.41,0,0.14,1.08
2036,Wall-E,Wii,2008,0.51,0.4,0,0.11,1.02
2131,de Blob,Wii,2008,0.5,0.37,0,0.1,0.97
2178,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,0.74,0.19,0,0.03,0.95
2200,The SpongeBob SquarePants Movie,GC,2004,0.73,0.19,0,0.03,0.94
2522,Rocket Power: Beach Bandits,PS2,2002,0.4,0.31,0,0.1,0.82
2675,Conker's Bad Fur Day,N64,2001,0.53,0.22,0,0.02,0.77
2733,Wall-E,PS2,2008,0.21,0,0,0.54,0.75
3043,The Fairly Odd Parents: Breakin Da Rules,PS2,2003,0.33,0.25,0,0.09,0.67
3105,Wall-E,PSP,2008,0.29,0.22,0,0.14,0.65
3255,Tak 2: The Staff of Dreams,PS2,2004,0.3,0.24,0,0.08,0.62
3278,Wall-E,X360,2008,0.29,0.26,0,0.07,0.62
