Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1958,Dora the Explorer: Dora Saves the Mermaids,DS,2007,0.97,0.01,0,0.08,1.06
3542,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,0.5,0.03,0,0.04,0.57
4252,Dora The Explorer: Dora Saves the Snow Princess,DS,2008,0.27,0.16,0,0.04,0.46
5037,Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,0.19,0.15,0,0.05,0.38
5236,Disney's The Haunted Mansion,PS2,2003,0.18,0.14,0,0.05,0.36
9828,Dora the Explorer: Dora Saves the Mermaids,PS2,2008,0.06,0.05,0,0.02,0.12
10587,Disney's The Haunted Mansion,GC,2003,0.08,0.02,0,0,0.1
10875,Scaler,PS2,2004,0.05,0.04,0,0.01,0.09
10989,Disney's The Haunted Mansion,XB,2003,0.07,0.02,0,0,0.09
12204,Tokobot,PSP,2005,0.06,0,0,0.01,0.07
13986,Scaler,GC,2004,0.03,0.01,0,0,0.04
