Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
463,Rayman,PS,1995,1.54,1.33,0,0.16,3.03
1791,Rabbids Go Home,Wii,2009,0.26,0.75,0,0.14,1.14
1915,Disney's Lilo & Stitch,GBA,2002,0.77,0.29,0,0.02,1.08
2018,Rayman Origins,PS3,2011,0.33,0.51,0.01,0.18,1.03
2055,Rayman Legends,PS4,2014,0.21,0.61,0,0.18,1.01
2601,Rayman Origins,X360,2011,0.38,0.34,0,0.08,0.79
2827,Rabbids Go Home,DS,2009,0.35,0.3,0,0.07,0.72
2985,Rayman Legends,WiiU,2013,0.26,0.33,0.03,0.06,0.68
3071,Rayman Legends,PS3,2013,0.14,0.38,0,0.14,0.66
3150,Rayman 3D,3DS,2011,0.23,0.35,0,0.06,0.64
3160,Rayman 2: The Great Escape,N64,1999,0.4,0.22,0,0.02,0.64
3386,Rayman Origins,PSV,2012,0.13,0.35,0,0.11,0.59
3457,Rayman Origins,Wii,2011,0.23,0.29,0,0.07,0.58
4007,Rayman Advance,GBA,2001,0.36,0.13,0,0.01,0.5
4297,Rayman Legends,X360,2013,0.19,0.23,0,0.04,0.46
4770,Disney's Tarzan Untamed,PS2,2001,0.2,0.16,0,0.05,0.41
5012,Raving Rabbids: Travel in Time 3D,3DS,2011,0.11,0.23,0,0.04,0.38
5411,Rayman Legends,XOne,2014,0.13,0.18,0,0.03,0.34
5633,Rayman 2: The Great Escape,PS,2000,0.18,0.12,0,0.02,0.32
5896,Rayman 2: Revolution,PS2,2000,0.15,0.11,0,0.04,0.3
6079,Rayman 3: Hoodlum Havoc,PS2,2003,0.14,0.11,0,0.04,0.29
6121,Tigger's Honey Hunt,PS,2000,0.16,0.11,0,0.02,0.28
6450,Rayman DS,DS,2005,0.21,0.04,0,0.02,0.26
6966,The Smurfs 2,DS,2013,0,0.21,0,0.02,0.23
7168,Cloudy With a Chance of Meatballs,DS,2009,0.2,0.01,0,0.02,0.22
7455,Rayman Legends,PSV,2014,0.03,0.12,0,0.05,0.21
7616,Tigger's Honey Hunt,N64,2000,0.16,0.04,0,0,0.2
8151,Disney's Tarzan Untamed,GC,2001,0.14,0.04,0,0,0.18
8232,Open Season,GC,2006,0.13,0.03,0,0,0.17
8941,Disney's Donald Duck: Goin' Quackers,PS,2000,0.08,0.06,0,0.01,0.15
8953,Rayman Origins,3DS,2012,0.06,0.08,0,0.01,0.15
9017,Rayman 3,GBA,2003,0.1,0.04,0,0,0.14
9304,Open Season,DS,2006,0.12,0,0,0.01,0.14
9346,Bratz,GBA,2002,0.1,0.04,0,0,0.13
9437,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GBA,2005,0.09,0.03,0,0,0.13
9452,The Smurfs 2,X360,2013,0.03,0.09,0,0.01,0.13
9573,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,PS2,2005,0.06,0.05,0,0.02,0.13
9622,Cloudy With a Chance of Meatballs,Wii,2009,0.11,0,0,0.01,0.13
9708,Disney's PK: Out of the Shadows,PS2,2002,0.06,0.05,0,0.02,0.12
9820,Rocket: Robot on Wheels,N64,1999,0.1,0.02,0,0,0.12
10115,Open Season,X360,2006,0.1,0,0,0.01,0.11
10149,Disney's Peter Pan: Return to Never Land,GBA,2002,0.08,0.03,0,0,0.11
10177,The Smurfs 2,PS3,2013,0.02,0.07,0,0.02,0.11
10219,Tonic Trouble,N64,1999,0.09,0.02,0,0,0.11
10429,Cloudy With a Chance of Meatballs,PS3,2009,0.09,0.01,0,0.01,0.1
10448,The Smurfs 2,Wii,2013,0,0.09,0,0.01,0.1
10633,Disney's Donald Duck: Goin' Quackers,N64,2000,0.08,0.02,0,0,0.1
10647,Disney's The Jungle Book,GBA,2002,0.07,0.03,0,0,0.1
10730,Cubic Ninja,3DS,2011,0.05,0.04,0,0.01,0.1
10944,Dragon Tales: Dragon Seek,PS,2000,0.05,0.03,0,0.01,0.09
11152,The Smurfs 2,WiiU,2013,0.04,0.04,0,0.01,0.09
11223,Cloudy With a Chance of Meatballs,X360,2009,0.07,0.01,0,0.01,0.09
11326,Disney's Donald Duck: Goin' Quackers,PS2,2000,0.04,0.03,0,0.01,0.08
11417,Cloudy With a Chance of Meatballs,PSP,2009,0.07,0,0,0.01,0.08
11605,Rayman Origins,PC,2012,0,0.06,0,0.01,0.08
11685,Open Season,PSP,2006,0.07,0,0,0.01,0.08
11762,Rayman 3: Hoodlum Havoc,XB,2003,0.06,0.02,0,0,0.07
11878,Disney's Donald Duck Advance,GBA,2001,0.05,0.02,0,0,0.07
11956,Open Season,Wii,2006,0.06,0,0,0.01,0.07
12002,Rayman 3: Hoodlum Havoc,GC,2003,0.05,0.01,0,0,0.07
12032,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005,0.05,0.01,0,0,0.07
12316,Rayman: Hoodlum's Revenge,GBA,2005,0.05,0.02,0,0,0.06
12952,Dragon's Lair 3D: Return to the Lair,XB,2002,0.04,0.01,0,0,0.05
12974,Disney's PK: Out of the Shadows,GC,2002,0.04,0.01,0,0,0.05
13155,Assassin's Creed: Altair's Chronicles,DS,2008,0.03,0.01,0,0,0.05
13478,Disney's Donald Duck: Goin' Quackers,GC,2002,0.03,0.01,0,0,0.04
13898,E.T. The Extra-Terrestrial: Interplanetary Mission,PS,2001,0.02,0.01,0,0,0.04
14391,Rayman 3: Hoodlum Havoc,PC,2003,0,0.03,0,0.01,0.03
14866,Open Season,PS2,2006,0.01,0.01,0,0,0.03
15922,Rayman 10th Anniversary,GBA,2005,0.01,0,0,0,0.02
