Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
723,Spyro: Season of Ice,GBA,2001,1.29,0.83,0,0.11,2.23
1181,Spyro 2: Season of Flame,GBA,2002,0.85,0.65,0,0.08,1.58
1426,Crash Bandicoot 2: N-Tranced,GBA,2003,0.63,0.66,0,0.07,1.36
2633,Secret Agent Barbie: Royal Jewels Mission,GBA,2002,0.56,0.21,0,0.01,0.78
3137,Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,0.46,0.17,0,0.01,0.64
3139,Spyro: A Hero's Tail,PS2,2004,0.32,0.25,0,0.08,0.64
3142,Crash: Twinsanity,PS2,2004,0.32,0.25,0,0.08,0.64
3454,The Legend of Spyro: Dawn of the Dragon,Wii,2008,0.35,0.18,0,0.05,0.58
3752,The Hobbit,PS2,2003,0.26,0.2,0,0.07,0.54
3970,Crash: Mind Over Mutant,PS2,2008,0.25,0.19,0,0.06,0.5
4112,Crash: Mind Over Mutant,X360,2008,0.22,0.21,0,0.05,0.48
4228,The Legend of Spyro: Dawn of the Dragon,DS,2008,0.26,0.15,0,0.05,0.46
4259,The Legend of Spyro: Dawn of the Dragon,PS3,2008,0.19,0.19,0,0.08,0.46
4322,Crash: Mind Over Mutant,Wii,2008,0.36,0.06,0,0.03,0.45
4407,Crash: Mind Over Mutant,PSP,2008,0.11,0.22,0,0.12,0.45
4575,The Legend of Spyro: The Eternal Night,PS2,2007,0.21,0.16,0,0.05,0.42
4591,Crash: Mind Over Mutant,DS,2008,0.39,0,0,0.03,0.42
4826,The Legend of Spyro: Dawn of the Dragon,PS2,2008,0.12,0.01,0,0.27,0.4
4960,Ice Age 2: The Meltdown,PS2,2006,0.19,0.15,0,0.05,0.39
5074,The Legend of Spyro: A New Beginning,DS,2006,0.34,0.01,0,0.03,0.38
5092,The Legend of Spyro: The Eternal Night,DS,2007,0.32,0.03,0,0.03,0.37
5610,The Legend of Spyro: Dawn of the Dragon,X360,2008,0.16,0.13,0,0.03,0.32
6094,Spyro: A Hero's Tail,GC,2004,0.22,0.06,0,0.01,0.29
6629,Ice Age 2: The Meltdown,GBA,2006,0.18,0.07,0,0,0.25
6894,The Hobbit,XB,2003,0.18,0.05,0,0.01,0.24
7189,The Legend of Spyro: The Eternal Night,Wii,2007,0.18,0.02,0,0.02,0.22
7743,The Hobbit,GBA,2003,0.14,0.05,0,0,0.19
7764,Ice Age 2: The Meltdown,GC,2006,0.15,0.04,0,0.01,0.19
7905,The Legend of Spyro: A New Beginning,GC,2006,0.15,0.04,0,0.01,0.19
7945,Crash & Spyro Superpack,GBA,2005,0.13,0.05,0,0,0.19
8262,The Hobbit,GC,2003,0.13,0.03,0,0,0.17
8786,Ice Age 2: The Meltdown,DS,2006,0.13,0.01,0,0.01,0.15
8944,Crash: Twinsanity,XB,2004,0.11,0.03,0,0.01,0.15
9136,Spyro: A Hero's Tail,XB,2004,0.11,0.03,0,0.01,0.14
10767,Ice Age 2: The Meltdown,XB,2006,0.07,0.02,0,0,0.1
11412,Ice Age 2: The Meltdown,Wii,2006,0.06,0.01,0,0.01,0.08
14259,Earthworm Jim 2,GBA,2002,0.02,0.01,0,0,0.03
