Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1411,Gardening Mama,DS,2009,0.8,0.43,0.01,0.13,1.38
8696,Bust-A-Move Bash!,Wii,2007,0.13,0.01,0,0.01,0.16
8886,Brain Boost: Gamma Wave,DS,2005,0.14,0,0,0.01,0.15
8914,Brain Boost: Beta Wave,DS,2005,0.14,0,0,0.01,0.15
9246,Bust-A-Move Deluxe,PSP,2006,0.13,0,0,0.01,0.14
10262,Bust-A-Move DS,DS,2005,0.08,0.02,0,0.01,0.11
11260,Chameleon,PSP,2006,0.07,0,0,0.01,0.08
12997,Ultra Bust-A-Move,XB,2004,0.04,0.01,0,0,0.05
13374,Balloon Pop,Wii,2007,0.04,0,0,0,0.05
14287,Ultimate Block Party,PSP,2004,0.03,0,0,0,0.03
14989,O.M.G. 26 - Our Mini Games,DS,2007,0.02,0,0,0,0.02
15149,The Professor's Brain Trainer: Logic,DS,2005,0.02,0,0,0,0.02
15240,Mind over Matter,DS,2010,0.02,0,0,0,0.02
15987,Chameleon: To Dye For!,DS,2006,0.01,0,0,0,0.01
16281,Monster Bomber,DS,2006,0.01,0,0,0,0.01
