Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
90,Pac-Man,2600,1982,7.28,0.45,0,0.08,7.81
489,Pac-Man Collection,GBA,2001,2.07,0.77,0.05,0.05,2.94
1108,Ms. Pac-Man,2600,1981,1.54,0.1,0,0.02,1.65
1117,Dig Dug,2600,1982,1.52,0.1,0,0.02,1.64
1241,Super Monkey Ball 2,GC,2002,1.11,0.31,0.06,0.04,1.52
1307,Super Monkey Ball,GC,2001,0.95,0.37,0.1,0.04,1.46
2481,Q*bert,PS,1999,0.46,0.32,0,0.05,0.84
2555,The Next Tetris,PS,1998,0.45,0.31,0,0.05,0.81
2654,Jr. Pac-Man,2600,1983,0.72,0.05,0,0.01,0.78
2849,Super Monkey Ball Jr.,GBA,2002,0.51,0.19,0,0.01,0.72
4471,Super Breakout,2600,N/A,0.41,0.03,0,0,0.44
5063,Hangman,2600,N/A,0.35,0.02,0,0,0.38
8759,Klax,2600,1989,0.14,0.01,0,0,0.15
11467,Qubed,X360,2009,0.07,0,0,0.01,0.08
12615,Dig Dug: Digging Strike,DS,2005,0.05,0,0,0,0.06
12782,GunPey,PSP,2006,0.05,0,0,0.01,0.06
13060,Fishdom,DS,2011,0.05,0,0,0,0.05
13335,GunPey DS,DS,2006,0.04,0,0,0,0.05
13347,Bubble Bobble Revolution,DS,2005,0.04,0,0,0,0.05
13868,Ballistic,PS,1999,0.02,0.01,0,0,0.04
14454,Hot Pixel,PSP,2007,0.03,0,0,0,0.03
14536,Atomic Betty,GBA,2005,0.02,0.01,0,0,0.03
