Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7695,Puzzle Challenge: Crosswords and More!,PSP,2006,0.18,0,0,0.01,0.2
9699,Solitaire & Mahjong,Wii,2009,0.11,0,0,0.01,0.12
10357,Sudokuro,DS,2007,0.1,0,0,0.01,0.11
11777,Santa Claus Is Comin' to Town!,DS,2011,0.07,0,0,0.01,0.07
12280,Santa Claus Is Comin' to Town!,Wii,2011,0.06,0,0,0,0.06
14009,Napoleon Dynamite: The Game,PSP,2007,0.03,0,0,0,0.04
14653,Puzzle Challenge: Crosswords and More!,Wii,2009,0.03,0,0,0,0.03
14902,Napoleon Dynamite: The Game,DS,2007,0.02,0,0,0,0.03
15181,Puzzle Challenge: Crosswords and More!,PS2,2006,0.01,0.01,0,0,0.02
15697,Mechanic Master 2,DS,2010,0.02,0,0,0,0.02
