Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3716,Despicable Me: The Game - Minion Mayhem,DS,2010,0.42,0.09,0,0.04,0.54
5412,Puzzle Quest: Challenge of the Warlords,DS,2007,0.28,0.01,0.03,0.02,0.34
6058,Puzzle Quest: Challenge of the Warlords,Wii,2007,0.26,0,0,0.02,0.29
8542,Puzzle Quest: Galactrix,DS,2009,0.15,0,0,0.01,0.16
9721,Puzzle Quest 2,DS,2010,0.11,0,0,0.01,0.12
9725,Puzzle Quest: Challenge of the Warlords,PS2,2007,0.06,0.05,0,0.02,0.12
9746,Break 'Em All,DS,2005,0.11,0,0,0.01,0.12
11670,PQ: Practical Intelligence Quotient,PSP,2005,0.07,0,0,0.01,0.08
12978,PQ2: Practical Intelligence Quotient,PSP,2006,0.04,0,0,0,0.05
15316,Puzzle Quest: Challenge of the Warlords,PSP,2007,0.01,0,0,0,0.02
15775,Cube,PSP,2007,0.02,0,0,0,0.02
