Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1859,Lode Runner,NES,1984,0,0,1.1,0,1.1
2003,Bomberman 64,N64,1997,0.5,0.2,0.31,0.03,1.04
2022,Bomberman,NES,1985,0.18,0,0.85,0,1.03
2539,Super Bomberman 2,SNES,1994,0,0,0.81,0,0.81
2908,Super Bomberman 3,SNES,1994,0,0,0.7,0,0.7
3546,Super Bomberman,SNES,1992,0,0,0.57,0,0.57
4452,Super Bomberman 4,SNES,1996,0,0,0.44,0,0.44
4453,Bomberman II,NES,1991,0.16,0.03,0.15,0.1,0.44
5898,Super Bomberman 5,SNES,1997,0,0,0.3,0,0.3
11320,Bomberman Jetters,GC,2002,0.06,0.02,0,0,0.08
11349,Nikoli's Pencil Puzzle,3DS,2011,0.05,0.03,0,0.01,0.08
15586,Bomberman 2,DS,2008,0,0.01,0,0,0.02
