Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1640,Pac-Man,NES,1984,0.27,0.08,0.85,0.02,1.22
2816,Katamari Damacy,PS2,2004,0.47,0.02,0.17,0.08,0.73
3068,Puzzler Brain Games,Wii,2012,0,0,0.66,0,0.66
4450,Ms. Pac-Man Maze Madness,PS,2000,0.25,0.17,0,0.03,0.44
4673,Katamari Forever,PS3,2009,0.26,0.05,0.06,0.04,0.42
4729,Dig Dug,NES,1985,0,0,0.41,0,0.41
5136,Kotoba no Puzzle: Mojipittan DS,DS,2007,0,0,0.37,0,0.37
5600,Beautiful Katamari,X360,2007,0.14,0.02,0.15,0.02,0.32
6297,Pac-Pix,DS,2005,0.16,0,0.1,0.01,0.27
6857,Ms. Pac-Man: Maze Madness / Pac-Man World,GBA,2005,0.17,0.06,0,0,0.24
6987,Me & My Katamari,PSP,2005,0.13,0.02,0.08,0,0.23
7229,Ms. Pac-Man: Maze Madness,N64,2000,0.18,0.04,0,0,0.22
8646,Mr. Driller 2,GBA,2001,0,0,0.15,0,0.16
9275,Touch My Katamari,PSV,2011,0.08,0.04,0,0.02,0.14
10318,Kotoba no Puzzle: Mojipittan Daijiten,PSP,2004,0,0,0.11,0,0.11
12882,Famicom Mini: Dig Dug,GBA,2004,0,0,0.05,0,0.05
13702,Chibi Maruko-Chan DS: Maru-Chan no Machi,DS,2009,0,0,0.04,0,0.04
13896,Quiz Mobile Gundam: Toi Senshi DX,PSP,2006,0,0,0.04,0,0.04
13977,Mr. Driller,PS,1999,0.02,0.01,0,0,0.04
16118,Brain Exercise With Dr. Kawashima,PC,2009,0,0.01,0,0,0.01
