Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6,Tetris,GB,1989,23.2,2.26,4.22,0.58,30.26
28,Brain Age 2: More Training in Minutes a Day,DS,2005,3.44,5.36,5.32,1.18,15.3
156,Tetris,NES,1988,2.97,0.69,1.81,0.11,5.58
171,Dr. Mario,GB,1989,2.18,0.96,2,0.2,5.34
178,Professor Layton and the Curious Village,DS,2007,1.22,2.48,1.03,0.52,5.26
216,Dr. Mario,NES,1990,2.62,0.6,1.52,0.1,4.85
301,Professor Layton and the Diabolical Box,DS,2007,0.92,1.78,0.92,0.37,4
400,Professor Layton and the Unwound Future,DS,2008,0.65,1.61,0.82,0.28,3.36
491,WarioWare: Smooth Moves,Wii,2006,0.87,1.06,0.73,0.26,2.92
536,Professor Layton and the Last Specter,DS,2009,0.3,1.47,0.68,0.34,2.79
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,1.63,0.52,0.35,0.18,2.69
688,WarioWare Touched!,DS,2004,0.52,0.45,1.21,0.13,2.31
770,Tetris DS,DS,2006,0.64,0.07,1.35,0.08,2.13
882,Alleyway,GB,1989,0.96,0.38,0.55,0.05,1.94
891,Tetris DX,GB,1998,1.06,0.6,0.2,0.07,1.93
977,Professor Layton and the Mask of Miracle,3DS,2011,0.32,0.95,0.36,0.14,1.78
1010,Yoshi,NES,1991,0.7,0.13,0.91,0.01,1.75
1054,Personal Trainer: Math,DS,2007,0.49,1.12,0,0.09,1.7
1078,Yoshi's Cookie,GB,1992,0.59,0.24,0.82,0.03,1.68
1492,Gyromite,NES,1985,0.73,0.16,0.4,0.03,1.32
1610,Tetris 2 (All region sales),GB,1992,0.56,0.22,0.43,0.03,1.24
1622,Kirby Tilt 'n' Tumble,GB,2000,0.29,0.17,0.75,0.02,1.23
1628,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,0.4,0.11,0.7,0.02,1.23
1683,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,0.74,0.03,0.36,0.07,1.2
1689,Captain Toad: Treasure Tracker,WiiU,2014,0.56,0.36,0.19,0.09,1.19
1740,Mario vs. Donkey Kong,GBA,2004,0.68,0.25,0.21,0.02,1.17
1772,Qix,GB,1990,0.51,0.2,0.41,0.03,1.15
1829,Yoshi's Cookie,NES,1992,0.41,0.06,0.63,0.02,1.12
2113,Tetris 2,NES,1993,0.62,0.13,0.21,0.02,0.98
2515,Clu Clu Land,NES,1984,0.42,0.1,0.28,0.02,0.82
2629,Professor Layton and the Azran Legacy,3DS,2013,0,0.48,0.25,0.06,0.78
2644,Tetris Party Deluxe,DS,2010,0.29,0.3,0.12,0.07,0.78
2800,Yoshi,GB,1991,0,0,0.73,0,0.73
2890,"WarioWare, Inc.: Mega Party Game$",GC,2003,0.2,0.05,0.44,0.02,0.71
3273,Mario's Picross,GB,1995,0,0,0.62,0,0.62
3383,Pokemon Trozei!,DS,2005,0.26,0,0.31,0.02,0.6
3500,Tetris Party Deluxe,Wii,2010,0.34,0.17,0.02,0.05,0.58
3570,Classic NES Series: Dr. Mario,GBA,2004,0.31,0.11,0.13,0.01,0.56
3817,Picross 3D,DS,2009,0.3,0.03,0.16,0.03,0.53
3925,Picross DS,DS,2007,0.17,0.02,0.3,0.02,0.51
4043,Mario & Wario,SNES,1993,0,0,0.49,0,0.49
4231,Classic NES Series: Pac-Man,GBA,2004,0.25,0.09,0.12,0.01,0.46
4301,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,0.05,0.05,0.34,0.01,0.46
4367,Pokemon Puzzle League,N64,2000,0.36,0.08,0,0.01,0.45
4491,Master of Illusion,DS,2006,0.16,0,0.26,0.01,0.44
4625,Dr. Mario 64,N64,2001,0.34,0.07,0,0,0.42
4767,Mario no Super Picross,SNES,1995,0,0,0.41,0,0.41
5208,Tetrisphere,N64,1997,0.29,0.06,0,0,0.36
5274,Picross 2,GB,1996,0,0,0.35,0,0.35
5469,Planet Puzzle League,DS,2007,0.14,0.01,0.16,0.01,0.33
5569,Dr. Mario / Puzzle League,GBA,2005,0.12,0.04,0.16,0.01,0.33
5634,Kirby's Block Ball,GB,1995,0,0,0.32,0,0.32
5815,KuruKuru Kururin,GBA,2001,0,0,0.3,0.01,0.31
6029,The New Tetris,N64,1999,0.22,0.05,0.02,0,0.29
6553,Polarium,DS,2004,0.13,0.01,0.11,0.01,0.26
6932,Nintendo Presents: Crossword Collection,DS,2009,0,0.21,0,0.02,0.24
6980,Meteos,DS,2005,0.15,0.01,0.06,0.01,0.23
7067,Tetris 2 (weekly jp sales),GB,1992,0,0,0.23,0,0.23
