Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6747,Cradle of Rome,DS,2008,0.06,0.16,0,0.03,0.25
8666,Bomberman Land Touch! 2,DS,2007,0.13,0,0.01,0.01,0.16
10732,Harvest Moon: Frantic Farming,DS,2009,0.08,0.01,0,0.01,0.1
11167,Bomberman Land Touch!,DS,2006,0.04,0,0.04,0,0.09
12536,Ivy the Kiwi?,Wii,2010,0.04,0.02,0,0,0.06
12601,Jewel Legends: Tree of Life,DS,2011,0,0.05,0,0.01,0.06
12645,Jewel Master: Cradle of Persia,DS,2012,0,0.05,0,0.01,0.06
12990,Ivy the Kiwi?,DS,2010,0.04,0,0,0,0.05
13456,Jewel Master: Cradle Of Rome 2,PC,2011,0,0.04,0,0.01,0.04
13802,Rollin' Rascals,DS,2009,0.04,0,0,0,0.04
13966,Bubble Bobble Double Shot,DS,2007,0.03,0,0,0,0.04
14423,Bubble Bobble Evolution,PSP,2006,0.03,0,0,0,0.03
15248,Jewel Master: Cradle Of Rome 2,DS,2011,0,0.02,0,0,0.02
