Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4648,Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2005,0.32,0.08,0,0.01,0.42
5852,Puyo Puyo 7,DS,2009,0,0,0.3,0,0.3
6065,Feel the Magic XY/XX,DS,2004,0.17,0,0.1,0.02,0.29
6234,Puyo Puyo! 15th Anniversary,DS,2006,0,0,0.28,0,0.28
8761,Saturn Bomberman,SAT,1996,0,0,0.15,0,0.15
9244,Puyo Puyo!! 20th Anniversary,DS,2011,0,0,0.14,0,0.14
9536,Puyo Puyo!! 20th Anniversary,3DS,2011,0,0,0.13,0,0.13
9949,Hanagumi Taisen Columns,SAT,1997,0,0,0.12,0,0.12
10059,Puyo Puyo Tetris,3DS,2014,0,0,0.11,0,0.11
10482,PictoImage,DS,2007,0.1,0,0,0.01,0.1
11408,Crush,PSP,2007,0.07,0,0,0.01,0.08
11791,The Rub Rabbits!,DS,2005,0.03,0,0.04,0,0.07
12909,Puyo Puyo 7,Wii,2009,0,0,0.05,0,0.05
13092,Puyo Pop,GBA,2001,0.04,0.01,0,0,0.05
13171,Baku Baku,SAT,1995,0,0,0.05,0,0.05
13366,Puyo Puyo Tetris,PSV,2014,0,0,0.05,0,0.05
13526,Puyo Puyo Tetris,PS3,2014,0,0,0.04,0,0.04
14120,Puyo Puyo 7,PSP,2009,0,0,0.03,0,0.03
15239,Puyo Puyo! 15th Anniversary,PSP,2007,0,0,0.02,0,0.02
15288,Guess the Logos,XB,2004,0.02,0,0,0,0.02
15828,Puyo Puyo Tetris,WiiU,2014,0,0,0.02,0,0.02
16044,Puyo Pop Fever,GC,2004,0.01,0,0,0,0.01
