Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1637,Intelligent Qube,PS,1997,0.13,0.07,1,0.02,1.22
2405,Lemmings,PSP,2006,0.12,0.52,0,0.23,0.87
4148,Fantavision,PS2,2000,0.14,0.11,0.19,0.04,0.47
5351,Kurushi Final: Mental Blocks,PS,1998,0,0,0.32,0.02,0.34
5453,Bomberman World,PS,1998,0.06,0.04,0.22,0.02,0.33
9788,Go! Sudoku,PSP,2005,0.11,0,0,0.01,0.12
10207,Go! Sudoku (JP sales),PSP,2005,0,0,0.11,0,0.11
10908,echochrome,PSP,2008,0,0.01,0.08,0,0.09
11836,Roll Away,PS,1998,0.04,0.03,0,0,0.07
13509,I.Q. Remix+: Intelligent Qube,PS2,2000,0,0,0.04,0,0.04
13671,WTF: Work Time Fun,PSP,2005,0.04,0,0,0,0.04
16571,XI Coliseum,PSP,2006,0,0,0.01,0,0.01
