Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
802,Tetris Worlds,PS2,2002,1.11,0.71,0,0.27,2.08
1049,Tetris Worlds,GBA,2001,1.25,0.39,0,0.06,1.71
1574,Devil Dice,PS,1998,0.05,0.03,1.1,0.08,1.26
2388,Pictionary,Wii,2010,0.61,0.19,0,0.07,0.87
2704,Drawn to Life: The Next Chapter,Wii,2009,0.29,0.39,0,0.08,0.76
3112,Drawn to Life: The Next Chapter,DS,2009,0.45,0.14,0,0.06,0.65
6096,Ratatouille: Food Frenzy,DS,2007,0.26,0,0,0.02,0.29
6404,Are You Smarter than a 5th Grader? Game Time,Wii,2009,0.25,0,0,0.02,0.27
6886,Are You Smarter than a 5th Grader? Game Time,DS,2009,0.22,0,0,0.02,0.24
7223,Tetris Worlds,GC,2002,0.17,0.04,0,0.01,0.22
7686,Tetris Worlds (Online Edition),XB,2003,0.15,0.04,0,0.01,0.2
7927,Pictionary,DS,2010,0.1,0.07,0,0.02,0.19
9712,Are You Smarter than a 5th Grader? Game Time,X360,2009,0.12,0,0,0.01,0.12
9954,Merv Griffin's Crosswords,Wii,2008,0.11,0,0,0.01,0.12
10323,Tetris Evolution,X360,2007,0.08,0.02,0,0.01,0.11
10703,Nancy Drew: The Model Mysteries,DS,2010,0.09,0,0,0.01,0.1
12485,DropCast,DS,2008,0.06,0,0,0,0.06
