Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1847,Lumines: Puzzle Fusion,PSP,2004,0.52,0.35,0,0.23,1.11
2081,Puzzler Collection,DS,2008,0.17,0.78,0,0.04,1
2638,Puzzler World,DS,2009,0.41,0.3,0,0.07,0.78
3038,TV Show King Party,Wii,2008,0.18,0.41,0,0.08,0.67
3888,100 All-Time Favorites,DS,2009,0.35,0.12,0,0.04,0.51
4086,Scrabble 2007 Edition,DS,2007,0,0.48,0,0,0.48
5787,Math Play,DS,2006,0.28,0,0,0.02,0.31
6910,Scrabble (Others sales),DS,2009,0,0.24,0,0,0.24
8596,Take A Break's: Puzzle Master,DS,2009,0,0.15,0,0.01,0.16
8687,Bomberman,DS,2005,0.1,0.02,0.03,0.01,0.16
9825,Animal Genius,DS,2007,0.11,0,0,0.01,0.12
9989,Puzzler World 2,DS,2010,0.02,0.07,0,0.02,0.12
11291,Frantix,PSP,2005,0.08,0,0,0.01,0.08
11383,Exit,PSP,2005,0.07,0,0,0.01,0.08
11524,Puzzler Mind Gym 3D,3DS,2011,0.07,0,0,0,0.08
11548,Wordfish,DS,2008,0.07,0,0,0.01,0.08
11811,OK! Puzzle Stars,DS,2010,0,0.06,0,0.01,0.07
12437,Puzzler Collection,Wii,2008,0.05,0.01,0,0,0.06
12518,Worms Blast,GC,2002,0.05,0.01,0,0,0.06
13209,Super Bust-A-Move,GBA,2001,0.03,0.01,0,0,0.05
13423,Inspector Gadget: Gadget's Crazy Maze,PS,2001,0.03,0.02,0,0,0.05
13621,Platinum Sudoku,DS,2007,0.03,0.01,0,0,0.04
16305,Tetris Ultimate,PSV,2014,0,0.01,0,0,0.01
16587,Bust-A-Move 3000,GC,2003,0.01,0,0,0,0.01
