Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2788,WarioWare: Twisted!,GBA,N/A,0.16,0.06,0.5,0.02,0.74
5173,Bejeweled 3,DS,N/A,0.32,0.02,0,0.03,0.36
6278,M&M's Blast!,GBA,2001,0.2,0.07,0,0,0.27
9173,Bejeweled 3,PS3,N/A,0.13,0,0,0.01,0.14
9253,Bejeweled 3,X360,N/A,0.13,0,0,0.01,0.14
9524,Nintendo Puzzle Collection,GC,N/A,0,0,0.13,0,0.13
12309,Kururin Paradise,GBA,2002,0,0,0.06,0,0.06
13145,The Lost Treasures of Alexandria,DS,2011,0,0.04,0,0.01,0.05
13644,Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,2011,0,0.04,0,0.01,0.04
14183,Junior Island Adventure,DS,2011,0.03,0,0,0,0.03
14579,Heroes of Hellas 2: Olympia,DS,2012,0,0.03,0,0,0.03
14848,Bookworm,GBA,2004,0.02,0.01,0,0,0.03
15338,Mystery Tales 2: The Spirit Mask,DS,2011,0,0.02,0,0,0.02
15839,The Dark Hills of Cherai,PC,2009,0,0.01,0,0,0.02
16174,Dark Parables: The Exiled Prince,PC,2011,0,0.01,0,0,0.01
16427,Real Crimes: The Unicorn Killer,DS,2011,0,0.01,0,0,0.01
16548,The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,2011,0.01,0,0,0,0.01
