Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3566,Ms. Pac-Man Maze Madness,GBA,2004,0.4,0.15,0,0.01,0.56
9361,Puzzle Kingdoms,DS,2009,0.12,0,0,0.01,0.13
9520,Margot's Word Brain,Wii,2008,0.12,0,0,0.01,0.13
9754,Puzzle Kingdoms,Wii,2009,0.11,0,0,0.01,0.12
10600,Sudoku Mania,DS,2006,0.09,0,0,0.01,0.1
10916,Snood 2: On Vacation,DS,2005,0.09,0,0,0.01,0.09
11617,Whac-A-Mole,DS,2005,0.07,0,0,0.01,0.08
14506,Marble Madness / Klax,GBA,2005,0.02,0.01,0,0,0.03
14672,Betty Boop's Double Shift,DS,2007,0.03,0,0,0,0.03
15262,Jelly Belly: Ballistic Beans,Wii,2009,0.02,0,0,0,0.02
16169,Smiley World: Island Challenge,DS,2009,0.01,0,0,0,0.01
16231,Double Sequence: The Q-Virus Invasion,DS,2008,0.01,0,0,0,0.01
16338,Whac-A-Mole,GBA,2005,0.01,0,0,0,0.01
16500,Snood 2: On Vacation,GBA,2005,0.01,0,0,0,0.01
