Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1624,Vigilante 8,PS,1998,0.68,0.47,0,0.08,1.23
1820,Supercar Street Challenge,PS2,2001,0.55,0.43,0,0.14,1.12
2777,Blur,PS3,2010,0.22,0.37,0.02,0.13,0.74
3371,Blur,X360,2010,0.25,0.28,0,0.06,0.6
3545,Wreckless: ThE YaKuza MisSiOns,XB,2002,0.42,0.11,0.02,0.02,0.57
3622,Monster Jam: Path of Destruction,Wii,2010,0.5,0.02,0,0.03,0.56
4001,Dreamworks Madagascar Kartz,Wii,2009,0.29,0.16,0,0.05,0.5
4122,Vigilante 8: 2nd Offense,PS,1999,0.27,0.18,0,0.03,0.48
4141,Grand Prix,2600,1981,0.45,0.03,0,0,0.48
4287,Star Wars: Demolition,PS,2000,0.25,0.17,0,0.03,0.46
4646,Monster Jam: Urban Assault,Wii,2008,0.39,0,0,0.03,0.42
4837,Hot Wheels: Beat That!,PS2,2007,0.2,0.15,0,0.05,0.4
4892,Monster Jam: Urban Assault,DS,2008,0.37,0,0,0.03,0.39
5067,Monster Jam: Path of Destruction,DS,2010,0.35,0,0,0.02,0.38
5165,Dreamworks Madagascar Kartz,DS,2009,0.25,0.08,0,0.03,0.36
5212,World's Scariest Police Chases,PS,2001,0.2,0.14,0,0.02,0.36
5659,Dragster,2600,N/A,0.3,0.02,0,0,0.32
5758,Vigilante 8,N64,1998,0.25,0.06,0,0,0.31
5851,NASCAR 2011: The Game,X360,2011,0.29,0,0,0.02,0.3
5940,Dreamworks Madagascar Kartz,PS3,2009,0.19,0.07,0,0.04,0.3
6298,Beamrider,2600,1984,0.26,0.01,0,0,0.27
6369,NASCAR 2011: The Game,PS3,2011,0.25,0,0,0.02,0.27
6595,MTX Mototrax,PS2,2004,0.13,0.1,0,0.03,0.26
6743,Dreamworks Madagascar Kartz,X360,2009,0.14,0.09,0,0.02,0.25
6784,Monster Jam: Path of Destruction,PS3,2010,0.21,0.02,0,0.02,0.24
6860,Monster Jam,PS2,2007,0.12,0.09,0,0.03,0.24
6947,NASCAR 2011: The Game,Wii,2011,0.22,0,0,0.01,0.24
