Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6755,SBK Superbike World Championship,PS3,2008,0.12,0.11,0,0.02,0.25
7293,SBK X: Superbike World Championship,PS3,2010,0.05,0.13,0,0.04,0.22
7422,SBK Superbike World Championship,X360,2008,0.06,0.14,0,0.01,0.21
7425,WRC: FIA World Rally Championship,PS3,N/A,0,0.15,0.01,0.05,0.21
7985,SBK X: Superbike World Championship,X360,2010,0.1,0.07,0,0.02,0.19
9068,SBK 2011: FIM Superbike World Championship,PS3,2011,0.01,0.1,0,0.03,0.14
9694,WRC: FIA World Rally Championship,X360,N/A,0,0.1,0,0.02,0.12
10480,Corvette Evolution GT,DS,2008,0.1,0,0,0.01,0.1
11915,Hannspree Ten Kate Honda: SBK Superbike World Championship,PS2,2007,0.03,0.03,0,0.01,0.07
12198,SBK 2011: FIM Superbike World Championship,X360,2011,0,0.06,0,0.01,0.07
13690,Hannspree Ten Kate Honda: SBK Superbike World Championship,PSP,2007,0.03,0,0,0,0.04
13885,Superstars V8 Racing,PS3,2009,0,0.02,0,0.01,0.04
14264,SBK 2011: FIM Superbike World Championship,PC,2011,0,0.03,0,0.01,0.03
15660,SBK09 Superbike World Championship,PS3,2009,0,0.01,0,0,0.02
15973,SBK Superbike World Championship,PS2,2008,0.01,0.01,0,0,0.02
16061,WRC: FIA World Rally Championship,PC,N/A,0,0.01,0,0,0.01
16062,Alfa Romeo Racing Italiano,PS2,2005,0.01,0.01,0,0,0.01
16095,Superstars V8 Racing,X360,2009,0,0.01,0,0,0.01
16493,SBK Superbike World Championship,PSP,2008,0.01,0,0,0,0.01
