Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4950,MotoGP 08,PS3,2008,0.07,0.24,0,0.08,0.39
4963,Auto Modellista,PS2,2002,0.19,0.15,0,0.05,0.39
5323,MotoGP 08,X360,2008,0.11,0.2,0,0.04,0.35
7169,MotoGP 08,PS2,2008,0.01,0,0,0.21,0.22
7179,MotoGP 09/10,PS3,2010,0.05,0.13,0,0.04,0.22
7967,MotoGP,Wii,2009,0.05,0.11,0,0.02,0.19
8222,MotoGP 10/11,PS3,2011,0.04,0.1,0,0.04,0.17
8337,MotoGP 09/10,X360,2010,0.07,0.09,0,0.02,0.17
10744,MotoGP 07,PS2,2007,0.05,0.04,0,0.01,0.1
12176,Mega Man: Battle & Chase,PS,1997,0,0,0.06,0,0.07
12418,MotoGP 10/11,X360,2011,0,0.05,0,0.01,0.06
14728,Auto Modellista,GC,2003,0.02,0.01,0,0,0.03
15245,Group S Challenge,XB,2003,0.02,0,0,0,0.02
