Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
505,Colin McRae Rally,PS,1998,0.09,2.43,0.12,0.22,2.87
706,TOCA Touring Car Championship,PS,1997,0.07,2,0.02,0.18,2.28
1389,Colin McRae Rally 3,PS2,2002,0.03,1.05,0.02,0.3,1.4
1438,F1 2010,PS3,2010,0.25,0.76,0.08,0.27,1.35
1491,TOCA 2: Touring Cars,PS,1998,0.03,1.16,0.02,0.11,1.32
1642,F1 2011,PS3,2011,0.12,0.75,0.11,0.25,1.22
1836,GRID,PS3,2008,0.31,0.57,0.03,0.2,1.11
1910,DiRT 3,PS3,2011,0.27,0.59,0.01,0.21,1.08
1933,F1 2012,PS3,2012,0.12,0.64,0.05,0.25,1.07
1945,DiRT,PS3,2007,0.16,0.67,0,0.23,1.06
2054,DiRT 2,PS3,2009,0.27,0.53,0,0.2,1.01
2198,Colin McRae Rally 04,PS2,2003,0.01,0.71,0.01,0.21,0.94
2284,Colin McRae Rally 2.0,PS,2000,0.02,0.8,0.02,0.07,0.91
2342,F1 2009,Wii,2009,0.15,0.63,0,0.11,0.89
2347,F1 2010,X360,2010,0.18,0.59,0.01,0.1,0.89
2374,GRID,X360,2008,0.33,0.44,0.01,0.09,0.88
2380,DiRT,X360,2007,0.38,0.4,0,0.09,0.87
2553,DiRT 2,X360,2009,0.32,0.4,0,0.09,0.81
2802,F1 2011,X360,2011,0.11,0.51,0.01,0.09,0.73
2812,DiRT 3,X360,2011,0.23,0.41,0.01,0.08,0.73
3093,F1 2015,PS4,2015,0.09,0.44,0.03,0.09,0.66
3190,F1 2013,PS3,2013,0.01,0.45,0.03,0.15,0.63
3808,F1 2009,PSP,2009,0.08,0.29,0,0.16,0.53
3950,F1 2012,X360,2012,0.1,0.35,0,0.06,0.5
4067,F1 2014,PS3,2014,0.07,0.31,0.02,0.08,0.49
4211,Downhill Domination,PS2,2003,0.23,0.18,0,0.06,0.47
4883,GRID 2,PS3,2013,0.07,0.23,0.01,0.09,0.39
5043,DiRT 2,Wii,2009,0.11,0.23,0,0.04,0.38
5344,F1 Race Stars,PS3,2012,0.06,0.21,0,0.08,0.35
5525,F1 2013,X360,2013,0.01,0.28,0,0.03,0.33
5635,DiRT Rally,PS4,2016,0.03,0.24,0,0.05,0.32
5703,Fuel,X360,2009,0.09,0.19,0,0.04,0.31
6056,GRID 2,X360,2013,0.08,0.17,0,0.03,0.29
6105,F1 Race Stars,X360,2012,0.07,0.18,0,0.03,0.29
6306,Pro Race Driver,PS2,2002,0.13,0.1,0,0.03,0.27
6382,F1 2016 (Codemasters),PS4,2016,0.01,0.21,0.01,0.04,0.27
6555,F1 2014,X360,2014,0.08,0.15,0,0.02,0.26
6600,TOCA Race Driver 2: Ultimate Racing Simulator,PSP,2005,0,0.25,0,0,0.26
6749,Fuel,PS3,2009,0.08,0.12,0,0.05,0.25
6827,F1 2015,XOne,2015,0.08,0.15,0,0.02,0.24
6896,DiRT Showdown,X360,2012,0.08,0.14,0,0.02,0.24
7370,GRID Autosport,PS3,2014,0.05,0.11,0.01,0.04,0.21
7737,DiRT Showdown,PS3,2012,0.02,0.13,0,0.04,0.19
7932,F1 2011,PC,2011,0,0.15,0,0.04,0.19
8482,F1 2011,3DS,2011,0.07,0.08,0,0.02,0.16
8679,DiRT 3,PC,2011,0,0.13,0,0.03,0.16
8930,F1 2012,PC,2012,0.01,0.11,0,0.03,0.15
8940,F1 2011,PSV,2011,0.03,0.08,0.01,0.03,0.15
