Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
622,Pure,X360,2008,1.38,0.85,0,0.25,2.48
1498,Cars 2,DS,2011,0.72,0.44,0.04,0.12,1.32
2182,Cars 2,Wii,2011,0.46,0.39,0,0.1,0.95
2318,Pure,PS3,2008,0.42,0.33,0,0.14,0.9
2755,Split/Second,PS3,2010,0.31,0.31,0.01,0.12,0.75
3318,Split/Second,X360,2010,0.32,0.23,0,0.06,0.61
3735,Cars 2,PS3,2011,0.22,0.23,0,0.09,0.54
4000,Cars 2,X360,2011,0.28,0.17,0,0.05,0.5
5422,Herbie: Fully Loaded,GBA,2005,0.24,0.09,0,0.01,0.34
7103,TRON: Evolution - Battle Grids,Wii,2010,0.18,0.03,0,0.02,0.23
7133,Cars 2,3DS,2011,0.21,0,0,0.02,0.23
9749,Cars 2,PSP,2011,0.1,0.01,0,0.01,0.12
10213,Split/Second,PSP,2010,0.07,0.02,0,0.02,0.11
13539,Split/Second,PC,2010,0,0.04,0,0.01,0.04
