Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
105,Need for Speed Underground,PS2,2003,3.27,2.83,0.08,1.02,7.2
114,Need for Speed Underground 2,PS2,2004,2.71,3.02,0.08,1.09,6.9
253,Need for Speed: Most Wanted,PS2,2005,2.03,1.79,0.08,0.47,4.37
355,The Simpsons: Road Rage,PS2,2001,2.02,1.17,0,0.42,3.61
443,Need for Speed III: Hot Pursuit,PS,1998,2.14,0.86,0,0.13,3.12
499,Need for Speed: Most Wanted,PS3,2012,0.71,1.51,0.06,0.61,2.89
523,Need for Speed: Hot Pursuit,PS3,2010,1.05,1.25,0.03,0.48,2.81
561,Burnout 3: Takedown,PS2,2004,1.23,1.11,0,0.34,2.68
563,Need for Speed: Shift,PS3,2009,0.69,1.41,0.04,0.53,2.68
634,Need for Speed Carbon: Own the City,PSP,2006,0.87,0.98,0,0.59,2.44
645,Need for Speed: ProStreet,PS2,2007,0.69,0,0.04,1.68,2.41
651,Need for Speed (2015),PS4,2015,0.49,1.49,0.05,0.36,2.39
689,Need For Speed: High Stakes,PS,1999,1.58,0.64,0,0.09,2.31
698,Need for Speed Underground 2,XB,2004,1.38,0.8,0,0.1,2.28
731,Need for Speed: Hot Pursuit,X360,2010,1.03,0.98,0,0.21,2.22
782,Need for Speed: Hot Pursuit 2,PS2,2002,1.68,0.31,0.02,0.09,2.11
790,Need for Speed: Most Wanted 5-1-0,PSP,2005,1.77,0.13,0.02,0.18,2.1
803,Need For Speed: Undercover,PS3,2008,0.63,1.02,0.05,0.39,2.08
815,Need for Speed: ProStreet,X360,2007,1.04,0.8,0.01,0.22,2.06
823,Need for Speed: ProStreet,PS3,2007,0.73,0.92,0.04,0.37,2.05
865,Burnout Paradise,PS3,2008,1.01,0.64,0.02,0.3,1.97
897,Need for Speed: Shift,X360,2009,0.73,0.97,0.01,0.22,1.92
911,Need for Speed Rivals,PS4,2013,0.73,0.91,0.03,0.22,1.89
1047,Need for Speed Underground,XB,2003,1.09,0.55,0,0.07,1.71
1069,Need For Speed: Undercover,X360,2008,0.79,0.71,0.01,0.18,1.69
1105,Need for Speed Carbon,X360,2006,0.76,0.7,0.02,0.18,1.66
1140,Sled Storm,PS,1998,0.9,0.61,0,0.11,1.62
1169,NASCAR 2000,PS,1999,0.88,0.6,0,0.1,1.59
1175,Need for Speed: Most Wanted,X360,2012,0.62,0.8,0.01,0.15,1.58
1234,NASCAR 98,PS,1996,1.43,0.05,0,0.04,1.52
1237,NASCAR 99,PS,1998,1.45,0.04,0,0.04,1.52
1343,Need for Speed Rivals,PS3,2013,0.33,0.74,0.05,0.31,1.44
1380,NASCAR 2005: Chase for the Cup,PS2,2004,0.69,0.54,0,0.18,1.41
1383,Need For Speed: Undercover,PS2,2008,0.38,0.08,0.03,0.93,1.4
1427,Burnout Paradise,X360,2008,0.63,0.58,0.01,0.15,1.36
1463,Need for Speed Carbon,PS2,2006,1.22,0.05,0.05,0.01,1.34
1485,Need for Speed Underground Rivals,PSP,2005,0.69,0.38,0.02,0.24,1.32
1514,Burnout 3: Takedown,XB,2004,0.84,0.43,0,0.04,1.31
1527,Need for Speed Carbon,Wii,2006,0.46,0.66,0.02,0.15,1.29
1532,Need for Speed: Most Wanted,X360,2005,1,0.17,0.02,0.1,1.29
1556,Road Rash,PS,1995,0.71,0.48,0,0.08,1.27
1577,Need for Speed Carbon,PS3,2006,0.49,0.52,0.03,0.21,1.26
1598,Road Rash 3D,PS,1998,1.05,0.16,0,0.04,1.25
1663,Need for Speed Underground,GC,2003,0.69,0.48,0.01,0.03,1.21
1665,Test Drive 4,PS,1997,0.67,0.46,0,0.08,1.21
1744,Need for Speed: Most Wanted,PSV,2012,0.38,0.52,0.01,0.25,1.16
1751,NASCAR Thunder 2002,PS2,2001,0.57,0.44,0,0.15,1.16
1802,Need for Speed Underground 2,GC,2004,0.7,0.39,0.01,0.03,1.14
1844,Need for Speed: ProStreet,Wii,2007,0.54,0.46,0,0.12,1.11
1895,NASCAR Thunder 2004,PS2,2003,0.53,0.41,0,0.14,1.08
1938,Hot Wheels Turbo Racing,PS,1999,0.59,0.4,0,0.07,1.07
1942,Freekstyle,PS2,2002,0.52,0.41,0,0.14,1.06
1980,The Simpsons: Road Rage,XB,2001,0.78,0.26,0,0.01,1.05
2007,Need for Speed: Most Wanted,XB,2005,0.53,0.46,0,0.05,1.04
2070,Road & Track Presents: The Need for Speed,PS,1995,0.56,0.38,0,0.07,1
2114,NASCAR 99,N64,1998,0.94,0.04,0,0.01,0.98
2301,Burnout Revenge,PS2,2005,0.75,0.03,0,0.12,0.9
2433,Need for Speed: Nitro,Wii,2009,0.46,0.31,0,0.08,0.85
2444,Burnout Legends,PSP,2005,0.7,0.06,0,0.09,0.85
2480,Need for Speed Rivals,X360,2013,0.37,0.38,0.01,0.08,0.84
2514,Need for Speed: Hot Pursuit 2,XB,2002,0.68,0.11,0,0.03,0.82
2540,NASCAR 2001,PS,2000,0.45,0.31,0,0.05,0.81
2570,Moto Racer,PS,1997,0.45,0.3,0,0.05,0.8
2589,Need for Speed: Hot Pursuit 2,GC,2002,0.68,0.09,0,0.02,0.8
2651,Need for Speed: ProStreet,PSP,2008,0.24,0.33,0.01,0.2,0.78
2663,Andretti Racing,PS,1996,0.43,0.29,0,0.05,0.77
2667,Need For Speed: Undercover,PSP,2008,0.23,0.32,0.03,0.19,0.77
2672,Need for Speed: Porsche Unleashed,PS,1999,0.43,0.29,0,0.05,0.77
2720,Need for Speed: Shift,PSP,2009,0.16,0.38,0.01,0.21,0.76
2929,NASCAR 2001,PS2,2000,0.34,0.27,0,0.09,0.7
2950,Moto Racer 2,PS,1997,0.39,0.26,0,0.05,0.69
2965,Need for Speed: Shift 2 Unleashed,PS3,2011,0.2,0.36,0,0.13,0.69
2996,Need for Speed (2015),XOne,2015,0.3,0.33,0,0.06,0.68
3012,Need for Speed Rivals,XOne,2013,0.45,0.17,0,0.05,0.67
3026,Need For Speed: Undercover,Wii,2008,0.27,0.32,0,0.07,0.67
3197,NASCAR 06: Total Team Control,PS2,2005,0.53,0.02,0,0.09,0.63
3235,MySims Racing,DS,2009,0.26,0.29,0,0.07,0.63
3261,Beetle Adventure Racing!,N64,1999,0.4,0.2,0,0.02,0.62
3587,Need for Speed: Most Wanted,GC,2005,0.43,0.11,0,0.02,0.56
3588,NASCAR Rumble,PS,2000,0.31,0.21,0,0.04,0.56
3770,007 Racing,PS,2000,0.3,0.2,0,0.03,0.53
3777,NASCAR 09,PS2,2008,0.26,0.2,0,0.07,0.53
3788,Burnout Revenge,XB,2005,0.32,0.19,0,0.01,0.53
