Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2057,Ford Racing 2,PS2,2003,0.49,0.38,0,0.13,1
2270,Starsky & Hutch,PS2,2003,0.45,0.35,0,0.12,0.92
2420,Ford Racing,PS,2001,0.48,0.33,0,0.06,0.86
2472,Big Mutha Truckers,PS2,2002,0.41,0.32,0,0.11,0.84
5022,FlatOut,PS2,2004,0.19,0.15,0,0.05,0.38
5991,FlatOut: Head On,PSP,2008,0.13,0.11,0,0.06,0.29
6995,Starsky & Hutch,XB,2003,0.17,0.05,0,0.01,0.23
7741,Big Mutha Truckers,XB,2002,0.15,0.04,0,0.01,0.19
8455,FlatOut,XB,2004,0.12,0.04,0,0.01,0.17
8625,FlatOut 2,PS2,2006,0.08,0.06,0,0.02,0.16
8873,Ford Racing 2,XB,2003,0.11,0.03,0,0.01,0.15
10200,FlatOut: Ultimate Carnage,X360,2007,0.07,0.03,0,0.01,0.11
10385,Total Immersion Racing,PS2,2002,0.05,0.04,0,0.01,0.11
11465,Big Mutha Truckers,GC,2003,0.06,0.02,0,0,0.08
11813,Big Mutha Truckers 2,XB,2005,0.05,0.02,0,0,0.07
13528,FlatOut 2,XB,2006,0.03,0.01,0,0,0.04
13768,Antz Extreme Racing,PS2,2002,0.02,0.02,0,0.01,0.04
14373,Starsky & Hutch,GBA,2003,0.02,0.01,0,0,0.03
15051,Total Immersion Racing,XB,2002,0.02,0.01,0,0,0.02
15897,Antz Extreme Racing,XB,2002,0.01,0,0,0,0.02
16248,FlatOut: Ultimate Carnage,PC,2008,0,0.01,0,0,0.01
