Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2386,Need for Speed: V-Rally,PS,1997,0.43,0.29,0.09,0.06,0.87
3365,NASCAR Heat 2002,PS2,2001,0.29,0.23,0,0.08,0.6
5784,Demolition Racer,PS,1998,0.17,0.12,0,0.02,0.31
6076,Looney Tunes Racing,PS,2000,0.16,0.11,0,0.02,0.29
6313,NickToons: Racing,GBA,2002,0.19,0.07,0,0,0.27
7516,NASCAR Heat 2002,XB,2001,0.15,0.04,0,0.01,0.2
7565,Le Mans 24 Hours,PS2,2001,0.09,0.07,0.02,0.02,0.2
7694,Looney Tunes: Space Race,PS2,2002,0.1,0.08,0,0.03,0.2
8082,Test Drive Off-Road Wide Open,XB,2001,0.15,0.03,0,0.01,0.18
8564,NASCAR Heat 2002,GBA,2002,0.12,0.04,0,0,0.16
10637,Indy Racing 2000,N64,2000,0.08,0.02,0,0,0.1
10998,NASCAR: Dirt to Daytona,GC,2002,0.07,0.02,0,0,0.09
11047,V-Rally Edition 99,N64,1998,0.07,0.02,0,0,0.09
12468,PenPen TriIceLon,DC,1998,0,0,0.06,0,0.06
13384,Test Drive Le Mans,PS,1999,0.03,0.02,0,0,0.05
