Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6275,Motocross Maniacs Advance,GBA,2002,0.2,0.07,0,0,0.27
8640,Konami Krazy Racers,GBA,2001,0.09,0.03,0.04,0,0.16
8778,Enthusia Professional Racing,PS2,2005,0.07,0.06,0,0.02,0.15
9023,Adrenalin Misfits,X360,2010,0.12,0.02,0,0.01,0.14
10376,Woody Woodpecker Racing,PS,1999,0.06,0.04,0,0.01,0.11
10477,Yu-Gi-Oh! 5D's Wheelie Breakers,Wii,2009,0.09,0.01,0,0.01,0.1
11025,Jimmie Johnson's Anything With an Engine,X360,2011,0.08,0,0,0.01,0.09
11463,Jimmie Johnson's Anything With an Engine,Wii,2011,0.07,0,0,0.01,0.08
11768,Jimmie Johnson's Anything With an Engine,PS3,2011,0.07,0,0,0.01,0.07
14266,Street Supremacy,PSP,2005,0.03,0,0,0,0.03
14631,Whiteout,XB,2002,0.02,0.01,0,0,0.03
15268,Whiteout,PS2,2002,0.01,0.01,0,0,0.02
15887,GTI Club: Supermini Festa!,Wii,2010,0.01,0,0,0,0.02
