Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
161,Forza Motorsport 3,X360,2009,2.99,1.92,0.1,0.51,5.51
229,Forza Motorsport 4,X360,2011,2.08,2.04,0.06,0.47,4.64
292,Forza Motorsport 2,X360,2007,2.35,1.28,0.03,0.41,4.06
750,Forza Motorsport 5,XOne,2013,1.21,0.78,0.01,0.17,2.18
776,Project Gotham Racing,XB,2001,1.37,0.61,0.05,0.09,2.12
830,PGR4 - Project Gotham Racing 4,X360,2007,0.48,1.29,0.02,0.25,2.05
845,Forza Horizon,X360,2012,0.82,0.98,0.04,0.18,2.02
1020,Forza Motorsport 6,XOne,2015,0.69,0.89,0.03,0.14,1.74
1095,PGR: Project Gotham Racing 2,XB,2003,0.97,0.59,0.04,0.07,1.67
1341,Kinect Joy Ride,X360,2010,0.92,0.4,0,0.12,1.44
1418,Forza Horizon 2,XOne,2014,0.5,0.78,0.01,0.09,1.37
1984,Forza Motorsport,XB,2005,0.52,0.51,0,0.02,1.05
2429,Forza Horizon 2,X360,2014,0.35,0.43,0,0.07,0.85
3369,PGR3 - Project Gotham Racing 3,X360,2005,0.49,0.03,0.03,0.05,0.6
3551,RalliSport Challenge,XB,2002,0.39,0.16,0,0.02,0.57
5017,Forza Horizon 3,XOne,2016,0.15,0.2,0,0.03,0.38
5826,Midtown Madness 3,XB,2003,0.23,0.07,0,0.01,0.3
6323,RalliSport Challenge 2,XB,2004,0.18,0.08,0,0.01,0.27
9645,Quantum Redshift,XB,2002,0.09,0.03,0,0,0.13
11839,Maximum Chase,XB,2002,0.05,0.02,0,0,0.07
13314,Forza Motorsport 3: Ultimate Edition,X360,2010,0,0.04,0,0.01,0.05
16328,RalliSport Challenge(JP sales),XB,2002,0,0,0.01,0,0.01
