Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1096,Spy Hunter,PS2,2001,1.13,0.32,0,0.22,1.67
4066,Spy Hunter 2,PS2,2003,0.24,0.19,0,0.06,0.49
4187,L.A. Rush,PS2,2005,0.23,0.18,0,0.06,0.47
4260,Hydro Thunder,PS,1999,0.26,0.17,0,0.03,0.46
4533,WipEout 64,N64,1998,0.28,0.14,0,0.01,0.43
4623,Rush 2: Extreme Racing USA,N64,1998,0.35,0.06,0,0,0.42
5257,Arctic Thunder,PS2,2001,0.17,0.14,0,0.05,0.36
5417,Spy Hunter,XB,2002,0.25,0.07,0,0.01,0.34
7416,Cruis'n Exotica,N64,2000,0.17,0.04,0,0,0.21
7587,Spy Hunter,GC,2002,0.16,0.04,0,0.01,0.2
7624,San Francisco Rush 2049,N64,2000,0.16,0.04,0,0,0.2
8339,World Driver Championship,N64,1999,0.14,0.03,0,0,0.17
8588,Hydro Thunder,N64,2000,0.13,0.03,0,0,0.16
9005,L.A. Rush,XB,2005,0.11,0.03,0,0.01,0.14
9333,Spy Hunter 2,XB,2003,0.1,0.03,0,0,0.13
9797,Rush,PSP,2006,0.11,0,0,0.01,0.12
9899,Cruis'n,Wii,2007,0.1,0.01,0,0.01,0.12
9968,Arctic Thunder,XB,2001,0.09,0.02,0,0,0.12
10555,Freaky Flyers,PS2,2003,0.05,0.04,0,0.01,0.1
11091,Freestyle Metal X,PS2,2003,0.04,0.03,0,0.01,0.09
11916,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,0.03,0.03,0,0.01,0.07
14462,Freaky Flyers,XB,2003,0.02,0.01,0,0,0.03
14962,Spy Hunter: Nowhere To Run,PS2,2006,0.01,0.01,0,0,0.02
15138,Freestyle Metal X,XB,2003,0.02,0,0,0,0.02
15671,Freestyle Metal X,GC,2003,0.01,0,0,0,0.02
