Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7311,Ride,PS4,2015,0.03,0.13,0.03,0.03,0.22
8011,MotoGP 14,PS4,2014,0.04,0.11,0,0.04,0.18
8379,MotoGP 15,PS4,2015,0,0.12,0.03,0.02,0.17
9748,MotoGP 14,PS3,2014,0.04,0.06,0,0.02,0.12
10704,Ride,XOne,2015,0.04,0.05,0,0.01,0.1
11090,MotoGP 14,X360,2014,0.04,0.04,0,0.01,0.09
11363,Ride,PS3,2015,0,0.06,0.01,0.01,0.08
11522,MXGP 2,PS4,2016,0.02,0.05,0,0.01,0.08
11999,MotoGP 15,PS3,2015,0,0.03,0.03,0.01,0.07
13176,MXGP 2,XOne,2016,0.02,0.02,0,0,0.05
14413,MotoGP 15,XOne,2015,0,0.03,0,0,0.03
14669,Ride,PC,2015,0,0.03,0,0,0.03
15079,Ride,X360,2015,0,0.02,0,0,0.02
15585,MotoGP 14,PSV,2014,0,0.01,0,0,0.02
16326,MXGP 2,PC,2016,0,0.01,0,0,0.01
16474,MotoGP 15,X360,2015,0,0.01,0,0,0.01
