Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
820,R4: Ridge Racer Type 4,PS,1998,0.68,0.46,0.79,0.13,2.06
1416,Ridge Racer 7,PS3,2006,0.24,0.7,0.16,0.26,1.37
3715,SRS: Street Racing Syndicate,PS2,2004,0.26,0.21,0,0.07,0.54
4019,Ridge Racer 3D,3DS,2011,0.19,0.15,0.12,0.03,0.5
6131,R: Racing Evolution,PS2,2003,0.14,0.11,0,0.04,0.28
6359,MotoGP,PS2,2000,0.06,0.05,0.14,0.02,0.27
6804,SRS: Street Racing Syndicate,XB,2004,0.18,0.05,0,0.01,0.24
7592,Ridge Racer 6,X360,2005,0.1,0.02,0.07,0.01,0.2
7667,Ridge Racer,PSV,2011,0.04,0.08,0.05,0.03,0.2
8108,Ridge Racer Unbounded,PS3,2012,0.05,0.1,0,0.03,0.18
8907,Ridge Racer DS,DS,2004,0.14,0,0,0.01,0.15
9506,Digimon Racing,GBA,2004,0.09,0.03,0,0,0.13
9731,MotoGP 3 - Official Game of MotoGP,PS2,2003,0.06,0.05,0,0.02,0.12
9942,Ridge Racer Unbounded,X360,2012,0.05,0.05,0,0.01,0.12
11165,R: Racing Evolution,XB,2003,0.06,0.02,0,0,0.09
11258,SRS: Street Racing Syndicate,GC,2004,0.07,0.02,0,0,0.08
11353,Pac-Man World Rally,GC,2006,0.06,0.02,0,0,0.08
11690,R: Racing Evolution,GC,2003,0.06,0.02,0,0,0.08
12404,Valentino Rossi: The Game,PS4,2016,0.01,0.05,0,0.01,0.06
12631,The Fast and the Furious,PS2,2006,0.03,0.02,0,0.01,0.06
13404,Tokyo Ghoul: Jail,PSV,2015,0,0,0.05,0,0.05
13658,Pac-Man World Rally,PSP,2006,0.04,0,0,0,0.04
14002,Smashing Drive,XB,2002,0.03,0.01,0,0,0.04
15140,Pac-Man World Rally,PS2,2006,0.01,0.01,0,0,0.02
15206,Valentino Rossi: The Game,XOne,2016,0,0.02,0,0,0.02
15392,Ridge Racer Unbounded,PC,2012,0,0.02,0,0,0.02
16247,Valentino Rossi: The Game,PC,2016,0,0.01,0,0,0.01
