Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
961,Crazy Taxi,DC,2000,1.1,0.51,0.12,0.08,1.81
1231,Sonic Rivals 2,PSP,2007,0.44,0.69,0,0.39,1.52
1244,Sonic & Sega All-Stars Racing,Wii,2010,0.65,0.71,0,0.15,1.51
1336,Sonic Rivals,PSP,2006,0.73,0.42,0,0.28,1.44
1755,Sega Rally Championship,SAT,1995,0.21,0.16,0.77,0.02,1.16
1890,Sonic & Sega All-Stars Racing,DS,2010,0.44,0.54,0,0.11,1.09
1894,Sonic Free Riders,X360,2010,0.74,0.26,0,0.09,1.09
2112,Sonic & Sega All-Stars Racing,PS3,2010,0.36,0.46,0,0.17,0.98
2230,Sonic Riders: Zero Gravity,Wii,2008,0.5,0.32,0.02,0.1,0.93
2269,Sonic Riders,GC,2006,0.71,0.18,0,0.03,0.92
2577,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,2010,0.37,0.35,0,0.07,0.8
3167,Sega Rally Revo,PS3,2007,0.07,0.43,0,0.14,0.64
3224,Sonic & All-Stars Racing Transformed,X360,2012,0.2,0.37,0,0.06,0.63
3638,Daytona USA,SAT,1994,0,0,0.55,0,0.55
3705,Sonic & All-Stars Racing Transformed,PS3,2012,0.08,0.33,0.01,0.11,0.54
3795,Sonic & All-Stars Racing Transformed,WiiU,2012,0.2,0.27,0.02,0.05,0.53
3952,Sonic Riders,PS2,2006,0.42,0.02,0,0.07,0.5
4083,Sonic & All-Stars Racing Transformed,PSV,2012,0.12,0.25,0,0.11,0.48
4183,Crazy Taxi: Fare Wars,PSP,2007,0.1,0.22,0.02,0.12,0.47
4343,Sega Rally Revo,X360,2007,0.12,0.28,0,0.05,0.45
4688,Sega Rally Championship 2,DC,1999,0,0,0.41,0,0.41
6068,Sonic & All-Stars Racing Transformed,3DS,2012,0.12,0.15,0,0.02,0.29
6397,Initial D: Special Stage,PS2,2003,0,0,0.27,0,0.27
6475,Virtua Racing,GEN,1994,0,0,0.26,0,0.26
6566,Sega Rally Revo,PSP,2007,0.03,0.15,0,0.08,0.26
7529,Crazy Taxi 3: High Roller,XB,2002,0.14,0.04,0.02,0.01,0.2
7968,Sega GT 2002,XB,2002,0.12,0.03,0.03,0.01,0.19
8112,Full Auto 2: Battlelines,PS3,2006,0.14,0.02,0,0.02,0.18
8126,F1 Challenge,SAT,1994,0,0,0.18,0,0.18
8177,Sonic Riders: Zero Gravity,PS2,2008,0.09,0.07,0,0.02,0.18
9093,OutRun 2,XB,2004,0.11,0.03,0,0.01,0.14
9259,Daytona USA Championship Circuit Edition,SAT,1995,0,0,0.14,0,0.14
9488,Sonic Riders,XB,2006,0.1,0.03,0,0,0.13
9557,Sega GT,DC,2000,0,0,0.13,0,0.13
10095,Sega Touring Car Championship,SAT,1996,0,0,0.11,0,0.11
10687,Initial D: Street Stage,PSP,2006,0,0,0.1,0,0.1
11292,Sega GT Online,XB,2003,0.06,0.02,0,0,0.08
11401,Initial D: Extreme Stage,PS3,2008,0,0,0.08,0,0.08
11740,Gale Racer,SAT,1994,0,0,0.07,0,0.07
11753,Formula One World Championship: Beyond the Limit,SCD,1994,0,0,0.07,0,0.07
11814,Hang On GP,SAT,1995,0,0,0.07,0,0.07
12063,Crazy Taxi 2,DC,2001,0,0,0.07,0,0.07
12346,The King of Route 66,PS2,2003,0.03,0.02,0,0.01,0.06
13111,OutRun 2006: Coast 2 Coast,PS2,2006,0.02,0.01,0.01,0,0.05
13716,OutRun 2006: Coast 2 Coast,PSP,2006,0.03,0.01,0,0.01,0.04
16192,Sonic & All-Stars Racing Transformed,PC,2013,0,0.01,0,0,0.01
16309,Full Auto 2: Battlelines,PSP,2007,0,0.01,0,0,0.01
16411,Sega Rally Revo,PC,2007,0,0.01,0,0,0.01
