Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
29,Gran Turismo 3: A-Spec,PS2,2001,6.85,5.09,1.87,1.16,14.98
48,Gran Turismo 4,PS2,2004,3.01,0.01,1.1,7.53,11.66
53,Gran Turismo,PS,1997,4.02,3.87,2.54,0.52,10.95
55,Gran Turismo 5,PS3,2010,2.96,4.88,0.81,2.12,10.77
70,Gran Turismo 2,PS,1999,3.88,3.42,1.69,0.5,9.49
221,Crash Team Racing,PS,1999,2.57,1.57,0.44,0.21,4.79
273,Gran Turismo 5 Prologue,PS3,2007,1.28,1.83,0.57,0.53,4.2
310,MotorStorm,PS3,2006,1.53,1.61,0.06,0.67,3.88
345,Gran Turismo 6,PS3,2013,0.71,1.8,0.4,0.74,3.64
414,Gran Turismo (PSP),PSP,2009,0.5,1.59,0.31,0.87,3.27
632,Twisted Metal 2,PS,1996,2.12,0.25,0,0.07,2.44
642,ATV Offroad Fury,PS2,2001,2.07,0.26,0,0.08,2.41
850,DriveClub,PS4,2014,0.35,1.31,0.02,0.33,2
884,Jet Moto 2,PS,1997,1.41,0.42,0.03,0.07,1.94
948,Jet Moto,PS,1996,1.33,0.4,0.03,0.07,1.83
1375,Ridge Racer,PSP,2004,0.36,0.45,0.32,0.28,1.41
1378,Gran Turismo 4 Prologue,PS2,2003,0,0.47,0.77,0.17,1.41
1379,Twisted Metal: Black,PS2,2001,1.19,0.17,0,0.05,1.41
1419,MotorStorm: Pacific Rift,PS3,2008,0.43,0.67,0.02,0.26,1.37
1734,Rage Racer,PS,1996,0.16,0.11,0.83,0.08,1.17
1804,ModNation Racers,PS3,2010,0.5,0.41,0.06,0.16,1.13
1936,Ridge Racer Revolution,PS,1995,0.17,0.12,0.71,0.07,1.07
2012,MotorStorm: Arctic Edge,PSP,2009,0.16,0.58,0,0.3,1.04
2013,WipEout Pure,PSP,2005,0.47,0.34,0,0.22,1.04
2603,Ridge Racer,PS,1994,0,0,0.74,0.05,0.79
2785,Jet Moto 3,PS,1999,0.41,0.28,0,0.05,0.74
3002,Tourist Trophy: The Real Riding Simulator,PS2,2006,0.28,0.22,0.11,0.07,0.68
3284,Formula 1: Championship Edition,PS3,2006,0,0.57,0.04,0,0.61
3682,Jak X: Combat Racing,PS2,2005,0.45,0.02,0,0.07,0.55
3702,ModNation Racers,PSP,2010,0.11,0.27,0.02,0.14,0.54
4026,MotorStorm: Apocalypse,PS3,2011,0.21,0.2,0,0.08,0.49
4055,WipEout Pulse,PS2,2009,0,0.15,0,0.33,0.49
4251,ATV Offroad Fury Pro,PSP,2006,0.37,0.04,0,0.05,0.46
4921,Wipeout 2048,PSV,2012,0.14,0.19,0,0.06,0.39
5055,Moto Racer World Tour,PS,2000,0.21,0.14,0,0.02,0.38
5376,MotorStorm: Arctic Edge,PS2,2009,0.07,0.03,0,0.25,0.34
5431,Modnation Racers: Road Trip,PSV,2012,0.17,0.12,0,0.05,0.34
5529,DiRT 2,PSP,2009,0.09,0.16,0,0.09,0.33
5599,Kinetica,PS2,2001,0.16,0.12,0,0.04,0.32
5639,Rally Cross,PS,1997,0.18,0.12,0,0.02,0.32
5691,WipEout Pulse,PSP,2007,0.13,0.12,0,0.06,0.32
5859,Cart World Series,PS,1997,0.17,0.11,0,0.02,0.3
6604,Formula One 2001,PS2,2001,0.13,0.1,0,0.03,0.26
6672,WipEout Fusion,PS2,2002,0.12,0.1,0,0.03,0.25
6700,Penny Racers,PS,1996,0,0,0.23,0.02,0.25
6740,WRC: World Rally Championship,PS2,2001,0.12,0.09,0,0.03,0.25
7605,Speed Punks,PS,1998,0.11,0.08,0,0.01,0.2
8405,Pursuit Force,PSP,2005,0.14,0.01,0,0.02,0.17
8718,Muppet RaceMania,PS,1999,0.09,0.06,0,0.01,0.15
8968,Turbo Prop Racing,PS,1997,0.08,0.06,0,0.01,0.15
8976,MotoGP 2: Ultimate Racing Technology,PS2,2001,0.07,0.06,0,0.02,0.15
9126,Destruction Derby Raw,PS,2000,0.08,0.05,0,0.01,0.14
9432,Destruction Derby Arenas,PS2,2004,0.06,0.05,0,0.02,0.13
10484,Ridge Racer 2,PSP,2006,0,0.03,0.07,0.01,0.1
11060,Porsche Challenge,PS,1997,0.05,0.03,0,0.01,0.09
11189,Rollcage Stage II,PS,2000,0.05,0.03,0,0.01,0.09
11702,WipEout HD Fury,PS3,2009,0,0.06,0,0.02,0.08
12080,Motor Toon Grand Prix (Japan),PS,1994,0,0,0.06,0,0.07
12213,MotorStorm RC,PSV,2012,0,0.05,0,0.02,0.07
12303,Ray Tracers,PS,1997,0.04,0.02,0,0,0.06
12822,MotoGP 4 - Official Game of MotoGP,PS2,2005,0.03,0.02,0,0.01,0.06
13004,Ferrari F355 Challenge,PS2,2002,0.03,0.02,0,0.01,0.05
13895,WRC: FIA World Rally Championship,PSP,2005,0.02,0.01,0,0.01,0.04
13999,Formula 1 06,PS2,2006,0,0,0.04,0,0.04
14168,MotoGP,PSP,2006,0.03,0,0,0,0.03
