Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
341,Midnight Club 3: DUB Edition,PSP,2005,1.65,1.22,0,0.79,3.66
577,Midnight Club: Street Racing,PS2,2000,2,0.47,0.02,0.14,2.63
629,Midnight Club: Los Angeles,PS3,2008,1.55,0.54,0.05,0.31,2.45
676,Midnight Club: Los Angeles,X360,2008,1.68,0.46,0.01,0.2,2.35
973,Midnight Club II,PS2,2003,1.25,0.29,0,0.24,1.78
1187,Smuggler's Run,PS2,2000,0.77,0.6,0,0.2,1.56
1539,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,1.22,0.05,0,0.01,1.29
1746,Midnight Club 3: DUB Edition Remix,PS2,2006,0.97,0.04,0,0.16,1.16
2098,Midnight Club: LA Remix,PSP,2008,0.52,0.28,0,0.19,0.99
2608,Motocross Mania,PS,2001,0.44,0.3,0,0.05,0.79
2780,Midnight Club 3: DUB Edition,XB,2005,0.61,0.1,0,0.03,0.74
3959,Midnight Club II,XB,2003,0.42,0.06,0,0.02,0.5
5887,Monster Truck Madness 64,N64,1999,0.24,0.06,0,0,0.3
6020,Ford Mustang: The Legend Lives,PS2,2005,0.14,0.11,0,0.04,0.29
6483,Ford Racing 3,PS2,2004,0.13,0.1,0,0.03,0.26
7532,Midnight Club 3: DUB Edition Remix,XB,2006,0.15,0.04,0,0.01,0.2
10449,Motocross Mania 3,PS2,2004,0.05,0.04,0,0.01,0.1
10898,Ford Mustang: The Legend Lives,XB,2005,0.07,0.02,0,0,0.09
11161,Ford Racing 3,XB,2004,0.07,0.02,0,0,0.09
15402,Motocross Mania 3,XB,2005,0.01,0,0,0,0.02
