Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1051,The Crew,PS4,2014,0.34,1.08,0.03,0.26,1.7
1698,The Dukes of Hazzard: Racing for Home,PS,1999,0.99,0.16,0,0.04,1.19
2119,Driver: San Francisco,PS3,2011,0.24,0.54,0.01,0.18,0.98
2245,SnoCross Championship Racing,PS,1999,0.52,0.35,0,0.06,0.93
2348,Monster 4X4: World Circuit,Wii,2006,0.81,0,0.01,0.07,0.89
2850,Driver: San Francisco,X360,2011,0.25,0.39,0,0.08,0.72
3108,Monster Jam: Maximum Destruction,PS2,2002,0.32,0.25,0,0.08,0.65
3221,The Crew,XOne,2014,0.24,0.34,0,0.05,0.63
3356,Rayman Arena,PS2,2001,0.29,0.23,0,0.08,0.6
3380,Asphalt: Urban GT,DS,2004,0.31,0.22,0,0.06,0.6
3828,GT Pro Series,Wii,2006,0.46,0.01,0.02,0.04,0.52
4072,Asphalt 3D,3DS,2011,0.27,0.16,0.02,0.04,0.49
4146,Emergency Heroes,Wii,2008,0.15,0.27,0,0.06,0.48
4294,Vin Diesel: Wheelman,X360,2009,0.24,0.17,0,0.05,0.46
4507,Trials Fusion,PS4,2014,0.13,0.21,0.01,0.08,0.43
5530,Vin Diesel: Wheelman,PS3,2009,0.12,0.15,0,0.06,0.33
6109,Monster 4x4: Masters of Metal,PS2,2003,0.14,0.11,0,0.04,0.28
6447,The Crew,X360,2014,0.06,0.18,0,0.02,0.26
6691,F1 Pole Position 64,N64,1997,0.11,0.13,0,0.01,0.25
6763,Driver '76,PSP,2007,0.03,0.14,0,0.08,0.25
6780,Trials Fusion,XOne,2014,0.12,0.1,0,0.02,0.24
7321,The Dukes of Hazzard: Return of the General Lee,PS2,2004,0.11,0.08,0,0.03,0.21
7854,Monster 4x4: Stunt Racer,Wii,2009,0.18,0,0,0.01,0.19
8058,Driver: San Francisco,PC,2011,0.05,0.1,0,0.03,0.18
8178,Driver: San Francisco,Wii,2011,0.06,0.09,0,0.02,0.18
8419,WRC 2: FIA World Rally Championship,PS3,2011,0,0.13,0,0.04,0.17
8600,The Crew,PC,2014,0,0.15,0,0.01,0.16
8686,Street Racer,PS,1996,0.09,0.06,0,0.01,0.16
8896,187: Ride or Die,PS2,2005,0.07,0.06,0,0.02,0.15
9041,Asphalt: Urban GT 2,DS,2006,0.09,0.04,0,0.01,0.14
9236,Rayman Arena,GC,2002,0.11,0.03,0,0,0.14
9285,Nitrobike,Wii,2008,0.11,0.01,0,0.01,0.14
10526,Monster Jam: Maximum Destruction,GBA,2002,0.07,0.03,0,0,0.1
10938,Import Tuner Challenge (American sales),X360,2006,0.07,0.01,0,0.01,0.09
10953,GripShift,PSP,2005,0.08,0,0,0.01,0.09
10983,Driver: Renegade,3DS,2011,0.05,0.04,0,0.01,0.09
11300,S.C.A.R.S,PS,1998,0.05,0.03,0,0.01,0.08
11630,The Dukes of Hazzard: Return of the General Lee,XB,2004,0.06,0.02,0,0,0.08
11708,WRC 2: FIA World Rally Championship,X360,2011,0,0.06,0,0.01,0.08
12255,187: Ride or Die,XB,2005,0.05,0.01,0,0,0.06
12511,S.C.A.R.S,N64,1998,0.05,0.01,0,0,0.06
12926,TrackMania Turbo: Build to Race,DS,2010,0.03,0.02,0,0.01,0.05
13032,Batman: Gotham City Racer,PS,2001,0.03,0.02,0,0,0.05
13080,Monster 4x4: Masters of Metal,GC,2003,0.04,0.01,0,0,0.05
13345,Galaxy Racers,DS,2010,0.04,0,0,0,0.05
13386,Monster Jam: Maximum Destruction,GC,2002,0.04,0.01,0,0,0.05
13741,Monaco Grand Prix,N64,1999,0.03,0.01,0,0,0.04
14246,Trials Fusion,PC,2014,0,0.03,0,0,0.03
14601,Driver: Parallel Lines,Wii,2007,0.01,0.01,0,0,0.03
15525,WRC 2: FIA World Rally Championship,PC,2011,0,0.01,0,0,0.02
15803,Pro Rally,GC,2002,0.01,0,0,0,0.02
16307,Moto Racer Advance,GBA,2002,0.01,0,0,0,0.01
