Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
942,Gran Turismo Concept 2001 Tokyo,PS2,2001,0,1.1,0.42,0.33,1.84
1651,NASCAR Thunder 2003,PS2,N/A,0.6,0.46,0,0.16,1.22
3470,NASCAR: Dirt to Daytona,PS2,N/A,0.28,0.22,0,0.07,0.58
5863,The Dukes of Hazzard II: Daisy Dukes It Out,PS,N/A,0.17,0.11,0,0.02,0.3
6970,Jet X20,PS2,N/A,0.11,0.09,0,0.03,0.23
11800,Smashing Drive,GC,N/A,0.06,0.01,0,0,0.07
11891,Speed,Wii,2010,0.04,0.02,0,0.01,0.07
12186,Rayman Arena,XB,N/A,0.05,0.01,0,0,0.07
13759,Test Drive: Ferrari Legends,PS3,2012,0.04,0,0,0,0.04
13872,Sega Rally 2006,PS2,N/A,0,0,0.04,0,0.04
14928,Tube Slider,GC,N/A,0.02,0,0,0,0.02
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,N/A,0,0,0.02,0,0.02
16310,Freaky Flyers,GC,N/A,0.01,0,0,0,0.01
