Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
225,The Simpsons: Hit & Run,PS2,2003,1.73,2.19,0,0.79,4.7
874,Crash Nitro Kart,PS2,2003,0.74,1.01,0,0.2,1.95
1448,The Simpsons: Hit & Run,XB,2003,0.7,0.58,0,0.07,1.35
2086,The Simpsons: Hit & Run,GC,2003,0.77,0.2,0,0.03,0.99
3703,Crash Tag Team Racing,PS2,2005,0.27,0.21,0,0.07,0.54
4273,Crash Nitro Kart,GBA,2003,0.33,0.12,0,0.01,0.46
5707,Crash Nitro Kart,XB,2003,0.24,0.07,0,0.01,0.31
6476,Crash Tag Team Racing,PSP,2005,0.16,0.06,0,0.04,0.26
6550,Crash Nitro Kart,GC,2003,0.2,0.05,0,0.01,0.26
8533,Crash Tag Team Racing,GC,2005,0.12,0.03,0,0,0.16
9238,4x4 EVO 2,GC,2002,0.11,0.03,0,0,0.14
9636,Crash Tag Team Racing,XB,2005,0.09,0.03,0,0,0.13
15301,Butt-Ugly Martians: Zoom or Doom!,PS2,2002,0.01,0.01,0,0,0.02
16382,Grand Prix Legends,PC,1997,0,0.01,0,0,0.01
