Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4094,Need for Speed: Porsche Unleashed,GBA,2004,0.35,0.13,0,0.01,0.48
4609,American Chopper,PS2,2004,0.35,0.01,0,0.06,0.42
5607,Bigfoot: Collision Course,Wii,2008,0.3,0,0,0.02,0.32
7001,M&M's Kart Racing,Wii,2007,0.22,0,0,0.02,0.23
7234,ATV Quad Kings,Wii,2009,0.21,0,0,0.01,0.22
7805,Jeep Thrills,Wii,2008,0.18,0,0,0.01,0.19
8134,American Chopper 2: Full Throttle,PS2,2005,0.09,0.07,0,0.02,0.18
8765,American Chopper,XB,2004,0.11,0.03,0,0.01,0.15
8789,Bigfoot: Collision Course,DS,2009,0.14,0,0,0.01,0.15
9734,M&M's Kart Racing,DS,2008,0.11,0,0,0.01,0.12
10319,Yamaha Supercross,DS,2009,0.1,0,0,0.01,0.11
10488,Road Rash: Jailbreak,GBA,2003,0.07,0.03,0,0,0.1
10766,Ford Racing 3,DS,2005,0.09,0,0,0.01,0.1
11972,Yamaha Supercross,Wii,2009,0.05,0.01,0,0.01,0.07
12561,Ford Racing 3,GBA,2005,0.04,0.02,0,0,0.06
12644,Racing Gears Advance,GBA,2004,0.04,0.02,0,0,0.06
13278,American Chopper 2: Full Throttle,XB,2005,0.04,0.01,0,0,0.05
13950,Big Mutha Truckers,GBA,2005,0.03,0.01,0,0,0.04
14077,Double Value!: ATV Thunder Ridge Riders / Monster Trucks Mayhem,DS,2007,0.03,0,0,0,0.04
14493,Smashing Drive,GBA,2004,0.02,0.01,0,0,0.03
14923,Spy Hunter / Super Sprint,GBA,2005,0.02,0.01,0,0,0.02
14950,Road Trip: The Arcade Edition,GC,2002,0.02,0,0,0,0.02
15669,Gadget Racers (PAL),PS2,2002,0,0,0.02,0,0.02
15954,Choro Q,PS2,2003,0.01,0.01,0,0,0.02
16088,Road Trip: Shifting Gears,GBA,2002,0.01,0,0,0,0.01
16212,Freekstyle,GBA,2003,0.01,0,0,0,0.01
