Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6191,Wild ARMs 5,PS2,2006,0.14,0.11,0,0.04,0.28
7250,Magna Carta: Tears of Blood,PS2,2004,0.11,0.08,0,0.03,0.22
9025,Wild ARMs 4,PS2,2005,0.07,0.06,0,0.02,0.14
9224,Wild ARMs XF,PSP,2007,0.07,0,0.06,0.01,0.14
9714,Wild ARMs 5 (jp sales),PS2,2006,0,0,0.12,0,0.12
10786,Ar tonelico: Melody of Elemia,PS2,2006,0,0,0.1,0,0.1
10955,Riviera: The Promised Land,PSP,2006,0.07,0,0.02,0.01,0.09
13975,Steambot Chronicles,PS2,2005,0.02,0.01,0,0,0.04
14469,Graffiti Kingdom,PS2,2004,0.01,0.01,0,0,0.03
16384,Hoshigami: Ruining Blue Earth Remix,DS,2007,0,0,0.01,0,0.01
