Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1407,Persona 4: Golden,PSV,2012,0.46,0.34,0.38,0.21,1.38
2528,Shin Megami Tensei: Persona 4,PS2,2008,0.34,0.04,0.36,0.08,0.82
3506,Shin Megami Tensei IV,3DS,2013,0.28,0,0.27,0.02,0.57
4375,Persona,PS,1995,0,0,0.42,0.03,0.45
5011,Shin Megami Tensei: Devil Summoner,SAT,1995,0,0,0.38,0,0.38
5054,Etrian Odyssey IV: Legends of the Titans,3DS,2012,0.12,0.05,0.2,0.01,0.38
5149,Shin Megami Tensei II,SNES,1994,0,0,0.37,0,0.37
5296,Persona 2: Eternal Punishment,PS,2000,0.03,0.02,0.28,0.02,0.35
5378,Radiant Historia,DS,2010,0.24,0,0.09,0.02,0.34
5428,Persona 5,PS4,2016,0,0,0.34,0,0.34
5562,Etrian Odyssey III: The Drowned City,DS,2010,0.13,0,0.19,0.01,0.33
5780,Shin Megami Tensei: Devil Summoner - Soul Hackers,SAT,1997,0,0,0.31,0,0.31
5900,Shin Megami Tensei: Persona 2: Innocent Sin,PSP,2011,0.13,0.03,0.11,0.03,0.3
5909,Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012,0.13,0.02,0.14,0.01,0.3
5998,Shin Megami Tensei: Strange Journey,DS,2009,0.14,0,0.14,0.01,0.29
6363,Etrian Odyssey II: Heroes of Lagaard,DS,2008,0.1,0,0.16,0.01,0.27
6371,Shin Megami Tensei: Devil Survivor,DS,2009,0.14,0,0.12,0.01,0.27
6518,Etrian Odyssey Untold: The Millennium Girl,3DS,2013,0.1,0.01,0.14,0.01,0.26
6841,Stella Glow,3DS,2015,0.16,0.01,0.05,0.02,0.24
7276,Shin Megami Tensei: Persona,PSP,2009,0.08,0,0.13,0.01,0.22
8076,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014,0.07,0.03,0.05,0.03,0.18
8407,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008,0,0,0.17,0,0.17
8960,Shin Megami Tensei: Devil Summoner - Soul Hackers,PS,1999,0,0,0.14,0.01,0.15
9092,Hexyz Force,PSP,2009,0.07,0,0.06,0.01,0.14
9387,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008,0.07,0.05,0,0.02,0.13
9782,Shin Megami Tensei: Devil Survivor 2,3DS,2015,0,0.03,0.09,0,0.12
9839,Gungnir: Mayari no Gunshin to Eiyuu Sensou,PSP,2011,0.07,0,0.04,0.01,0.12
9911,Etrian Odyssey V,3DS,2016,0,0,0.12,0,0.12
9966,Thousand Arms,PS,1998,0.06,0.04,0,0.01,0.12
10056,Growlanser Generations,PS2,2003,0.06,0.04,0,0.01,0.11
10483,Etrian Odyssey II: Heroes of Lagaard,3DS,2014,0,0,0.1,0,0.1
10903,Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014,0.07,0.02,0,0.01,0.09
10927,Shin Megami Tensei,PS,2001,0,0,0.09,0.01,0.09
11203,Knights in the Nightmare,PSP,2010,0.06,0,0.02,0.01,0.09
11546,Ogre Battle Series: Tactics Ogre,PS,1997,0.04,0.03,0,0.01,0.08
11672,Majin Tensei,SNES,1994,0,0,0.08,0,0.08
12343,Growlanser IV: Over Reloaded,PSP,2011,0,0,0.06,0,0.06
12818,Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,PSP,2010,0,0,0.06,0,0.06
12951,Persona 2: Eternal Punishment,PSP,2012,0,0,0.05,0,0.05
13256,Growlanser VI: Precarious World,PS2,2007,0,0,0.05,0,0.05
13332,Shin Megami Tensei NINE,XB,2002,0,0,0.05,0,0.05
13450,Nora to Koku no Koubou: Kiri no Mori no Majo,DS,2011,0,0,0.05,0,0.05
13511,Growlanser,PSP,2009,0,0,0.04,0,0.04
14439,Gloria Union,PSP,2011,0,0,0.03,0,0.03
15063,DemiKids: Dark Version,GBA,2002,0.02,0.01,0,0,0.02
15069,DemiKids: Light Version,GBA,2002,0.02,0.01,0,0,0.02
