Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3642,Shin Super Robot Taisen,PS,1996,0,0,0.52,0.04,0.55
4956,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001,0,0,0.39,0,0.39
5823,Magna Carta 2,X360,2009,0.13,0.08,0.07,0.02,0.3
6843,Summon Night 3,PS2,2003,0,0,0.24,0,0.24
8197,Summon Night 4,PS2,2006,0,0,0.18,0,0.18
8560,Summon Night EX-Thesis: Yoake no Tsubasa,PS2,2005,0,0,0.16,0,0.16
9139,Eternal Poison,PS2,2008,0.07,0.05,0,0.02,0.14
9456,Eternal Poison (JP sales),PS2,2008,0,0,0.13,0,0.13
9480,Summon Night: Twin Age,DS,2007,0.07,0,0.05,0.01,0.13
9846,Slayers,SNES,1994,0,0,0.12,0,0.12
11404,Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS,2007,0,0,0.08,0,0.08
11824,Summon Night,DS,2008,0,0,0.07,0,0.07
13461,Summon Night Craft Sword Monogatari: Hajimari no Ishi,GBA,2005,0,0,0.04,0,0.04
14206,Magna Carta Portable,PSP,2006,0,0,0.03,0,0.03
14233,Gaia Saver Hero Saidai no Sakusen,SNES,1994,0,0,0.03,0,0.03
15119,Summon Night: Swordcraft Story,GBA,2003,0.02,0.01,0,0,0.02
16559,Super Robot Taisen: Original Generation,GBA,2002,0.01,0,0,0,0.01
