Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
162,Monster Hunter Freedom Unite,PSP,2008,0.47,0.57,4.13,0.34,5.5
215,Monster Hunter Freedom 3,PSP,2010,0,0,4.87,0,4.87
384,Monster Hunter 4,3DS,2013,0,0,3.44,0,3.44
596,Monster Hunter Freedom 2,PSP,2007,0.37,0.27,1.75,0.18,2.58
612,Dragon Warrior,NES,1986,0.49,0,0.52,1.51,2.52
979,Dragon's Dogma,PS3,2012,0.41,0.46,0.72,0.19,1.78
1451,Monster Hunter Freedom,PSP,2005,0.24,0.04,1.03,0.04,1.35
1495,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,0.31,0.04,0.96,0.01,1.32
1529,Mega Man Battle Network 3 Blue / White Version,GBA,2002,0.39,0.02,0.85,0.03,1.29
2058,Breath of Fire III,PS,1997,0.29,0.19,0.46,0.07,1
2583,Dragon's Dogma,X360,2012,0.42,0.24,0.07,0.06,0.8
2709,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,2005,0.09,0.03,0.62,0.02,0.76
3196,Monster Hunter 2,PS2,N/A,0,0,0.63,0,0.63
3343,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,0,0,0.6,0,0.6
3561,Breath of Fire IV,PS,2000,0.11,0.08,0.34,0.04,0.56
3961,Monster Hunter Freedom 2,PS3,2011,0,0,0.5,0,0.5
3999,Monster Hunter,PS2,2004,0.11,0.08,0.28,0.03,0.5
4576,Mega Man Battle Network,GBA,2001,0.14,0.05,0.22,0.01,0.42
5706,MonHun Nikki: Poka Poka Ailu Mura G,PSP,2011,0,0,0.31,0,0.31
6748,Monster Hunter G,Wii,2009,0,0,0.25,0,0.25
7006,Monster Hunter G,PS2,2005,0,0,0.23,0,0.23
7084,Mega Man Battle Network 5: Team Colonel / Protoman,GBA,2004,0.16,0.06,0,0,0.23
7791,Breath of Fire: Dragon Quarter,PS2,2002,0.09,0.07,0,0.02,0.19
8093,Mega Man X: Command Mission,PS2,2004,0.09,0.07,0,0.02,0.18
9541,Monster Hunter Frontier Online,X360,2010,0,0,0.13,0,0.13
9644,Last Ranker,PSP,2010,0,0,0.13,0,0.13
9679,Mega Man X: Command Mission,GC,2004,0.1,0.02,0,0,0.12
11287,RockMan EXE 4.5 Real Operation,GBA,2004,0,0,0.08,0,0.08
11629,Dragon's Dogma Online,PS4,2015,0,0,0.08,0,0.08
11757,Mega Man Battle Network: Operation Shooting Star,DS,N/A,0,0,0.07,0,0.07
13638,Breath of Fire III,PSP,2005,0,0.03,0,0.01,0.04
13968,Monster Hunter Frontier Online: Season 9.0,X360,2010,0,0,0.04,0,0.04
14190,Crimson Tears,PS2,2004,0.02,0.01,0,0,0.03
14339,Dragon's Dogma Online,PS3,2015,0,0,0.03,0,0.03
14537,Monster Hunter Frontier Online: Season 10,X360,2011,0,0,0.03,0,0.03
14711,Monster Hunter Frontier Online: Forward 1,X360,2011,0,0,0.03,0,0.03
14867,Monster Hunter Frontier Online: Forward 2,X360,2011,0,0,0.03,0,0.03
15313,Dungeons & Dragons: Shadow over Mystara,PS3,2013,0,0,0.02,0,0.02
