Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7676,Record of Agarest War,X360,2008,0.18,0,0.01,0.01,0.2
8103,Hyperdimension Neptunia,PSV,2013,0.09,0,0.07,0.02,0.18
8464,Hyperdimension Neptunia Victory,PS3,2012,0.05,0.03,0.06,0.02,0.16
9067,Record of Agarest War 2,PS3,2010,0.09,0,0.04,0.01,0.14
11176,Chou Jigen Game Neptune Mk-II,PS3,2011,0,0,0.09,0,0.09
11703,Genkai Totsuki Moero Chronicle,PSV,2014,0,0,0.08,0,0.08
12195,Hyperdimension Neptunia Victory,PSV,2014,0,0,0.07,0,0.07
12562,Genkai Tokki: Moero Crystal,PSV,2015,0,0,0.06,0,0.06
13558,Record of Agarest War: Marriage,PSP,2012,0,0,0.04,0,0.04
14562,Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,2015,0,0,0.03,0,0.03
14974,Omega Quintet,PS4,2014,0,0,0.02,0,0.02
15099,Genkai Tokki: Seven Pirates,PSV,2016,0,0,0.02,0,0.02
16377,Cross Edge Dash,X360,2009,0,0,0.01,0,0.01
