Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
175,Final Fantasy X-2,PS2,2003,1.92,1.08,2.11,0.17,5.29
449,Mass Effect 2,X360,2010,1.99,0.82,0.03,0.27,3.11
458,Mass Effect 3,X360,2012,1.94,0.86,0.03,0.24,3.07
480,Star Wars: The Old Republic,PC,2011,1.58,1.01,0,0.38,2.97
600,Dragon Age: Origins,X360,2009,1.76,0.56,0.03,0.22,2.57
860,Dragon Age: Inquisition,PS4,2014,0.72,0.86,0.08,0.32,1.97
1064,Dragon Age: Origins,PS3,2009,0.96,0.44,0.08,0.22,1.69
1283,Mass Effect 2,PS3,2011,0.78,0.47,0.03,0.2,1.48
1311,Mass Effect 3,PS3,2012,0.63,0.59,0.03,0.21,1.46
2133,Mass Effect 3,PC,2012,0.4,0.44,0,0.13,0.97
2294,Dragon Age: Inquisition,XOne,2014,0.55,0.28,0,0.07,0.91
2351,Kingdoms of Amalur: Reckoning,X360,2012,0.55,0.25,0.01,0.07,0.89
2390,Kingdoms of Amalur: Reckoning,PS3,2012,0.37,0.3,0.09,0.11,0.87
2810,Dragon Age: Inquisition,PC,2014,0.32,0.34,0,0.07,0.73
3003,Mass Effect,PC,2008,0,0.59,0,0.09,0.68
3061,Darkstone,PS,2001,0.37,0.25,0,0.04,0.66
3130,Dragon Age: Inquisition,PS3,2014,0.26,0.23,0.05,0.1,0.65
3446,Diablo,PS,1997,0.29,0.19,0.07,0.04,0.58
3451,The Lord of the Rings: The Third Age,PS2,2004,0.49,0.02,0,0.08,0.58
3633,Dragon Age: Inquisition,X360,2014,0.35,0.16,0,0.05,0.55
3880,Dragon Age: Origins,PC,2009,0,0.46,0,0.06,0.51
4161,Dragon Age Origins: Awakening,X360,2010,0.33,0.1,0,0.04,0.47
4664,Lord of the Rings: The Third Age,XB,2004,0.31,0.09,0,0.01,0.42
4869,Mass Effect 2,PC,2010,0.01,0.32,0,0.07,0.4
5788,Kingdoms of Amalur: Reckoning,PC,2012,0.14,0.13,0,0.04,0.31
6041,The Lord of the Rings: The Third Age,GC,2004,0.22,0.06,0,0.01,0.29
6229,Mass Effect 3,WiiU,2012,0.14,0.11,0,0.02,0.28
7219,The Lord of the Rings: The Third Age,GBA,2004,0.16,0.06,0,0,0.22
7647,Untold Legends: Dark Kingdom,PS3,2006,0.14,0.02,0.02,0.02,0.2
9037,Dragon Age: Origins - Ultimate Edition,PC,2010,0,0.12,0,0.02,0.14
9291,Dragon Age Origins: Awakening,PC,2010,0.01,0.1,0,0.02,0.14
9972,Darkspore,PC,2011,0.07,0.03,0,0.01,0.12
12254,Orcs & Elves,DS,2007,0.06,0,0,0.01,0.06
13833,All Points Bulletin,PC,2010,0,0.03,0,0.01,0.04
15332,Hellgate: London,PC,2007,0,0.02,0,0,0.02
