Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
243,Dragon Quest VII: Warriors of Eden,PS,2000,0.2,0.14,4.1,0.02,4.47
313,Dragon Warrior III,NES,1988,0.1,0,3.77,0,3.87
427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,0,0,3.19,0,3.19
447,Dragon Warrior IV,NES,1990,0.08,0,3.03,0.01,3.12
532,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,0,0,2.78,0.01,2.79
603,Dragon Warrior II,NES,1987,0.15,0,2.41,0,2.56
1112,Dragon Quest V: Tenkuu no Hanayome,PS2,2004,0,0,1.65,0,1.65
1193,Dragon Quest Monsters 2,GB,2001,0,0,1.56,0,1.56
1430,Dragon Quest III: Soshite Densetsu e...,SNES,1996,0,0,1.36,0,1.36
1660,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,0,0,1.2,0.01,1.21
1779,Dragon Quest I & II,SNES,1993,0,0,1.15,0,1.15
2533,Dragon Warrior III,GB,2000,0,0,0.81,0,0.81
2545,Valkyrie Profile,PS,1999,0.07,0.05,0.63,0.05,0.81
2676,Dragon Warrior I&II,GB,1999,0,0,0.77,0,0.77
3069,Dragon Quest Monsters: Caravan Heart,GBA,2003,0,0,0.64,0.02,0.66
3111,World of Dragon Warrior - Torneko: The Last Hope,PS,1999,0.02,0.01,0.58,0.04,0.65
3726,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002,0,0,0.54,0,0.54
5033,Grandia Xtreme,PS2,2002,0.07,0.05,0.25,0.02,0.38
5604,Dragon Quest Monsters 1·2,PS,2002,0,0,0.3,0.02,0.32
7086,Star Ocean,SNES,1996,0,0,0.23,0,0.23
9054,Star Ocean: Blue Sphere,GB,2001,0,0,0.14,0,0.14
9548,Mystic Ark,SNES,1995,0,0,0.13,0,0.13
13675,Dark Half,SNES,1996,0,0,0.04,0,0.04
