Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7153,Ys Seven,PSP,2009,0.14,0,0.08,0.01,0.22
7606,The Legend of Heroes VII: The Trail of Blue,PSP,2011,0,0,0.2,0,0.2
8514,The Legend of Heroes VII: The Trail of Zero,PSP,2010,0,0,0.16,0,0.16
8997,Ys: The Oath in Felghana,PSP,2010,0.09,0,0.04,0.01,0.14
11228,Ys I & II Chronicles,PSP,2009,0.05,0,0.03,0.01,0.09
11912,The Legend of Heroes: Trails in the Sky Third Chapter,PSP,2008,0,0,0.07,0,0.07
11962,The Legend of Heroes VII: The Trail of Zero,PSV,2012,0,0,0.07,0,0.07
12365,The Legend of Heroes: Trails in the Sky Second Chapter,PSP,2007,0,0,0.06,0,0.06
13777,The Legend of Heroes: Trails in the Sky First Chapter,PS3,2012,0,0,0.04,0,0.04
14982,Vantage Master Portable,PSP,2008,0,0,0.02,0,0.02
15118,Brandish: The Dark Revenant,PSP,2009,0,0,0.02,0,0.02
15401,The Legend of Heroes: Trails in the Sky Second Chapter,PS3,2013,0,0,0.02,0,0.02
15422,Zwei!!,PSP,2008,0,0,0.02,0,0.02
16087,The Legend of Heroes: Trails in the Sky Third Chapter,PS3,2013,0,0,0.01,0,0.01
16593,Eiyuu Densetsu: Sora no Kiseki Material Collection Portable,PSP,2007,0,0,0.01,0,0.01
