Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6293,Divinity: Original Sin,PS4,2015,0.09,0.12,0.02,0.04,0.27
6546,Game of Thrones,X360,2012,0.15,0.08,0,0.02,0.26
6635,Game of Thrones,PS3,2012,0.1,0.11,0,0.04,0.25
7749,Bound By Flame,PS4,2014,0.07,0.08,0,0.04,0.19
9308,Divinity II: The Dragon Knight Saga,X360,2010,0.11,0.02,0,0.01,0.14
11371,Game of Thrones,PC,2012,0,0.07,0,0.01,0.08
12073,Divinity: Original Sin,XOne,2015,0.04,0.02,0,0.01,0.07
13088,Dungeon Raiders,DS,2009,0.05,0,0,0,0.05
13097,The Technomancer,PS4,2016,0.01,0.03,0,0.01,0.05
15344,The Technomancer,XOne,2016,0.01,0.01,0,0,0.02
15766,Divinity: Original Sin,PC,2014,0,0.02,0,0,0.02
16402,The Technomancer,PC,2016,0,0.01,0,0,0.01
