Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6675,Marie no Atelier: Salburg no Renkinjutsushi,PS,1997,0,0,0.23,0.02,0.25
7733,Mana Khemia 2: Fall of Alchemy,PS2,2008,0.07,0.05,0.05,0.02,0.2
9795,Atelier Annie: Alchemists of Sera Island,DS,2009,0.08,0,0.03,0.01,0.12
11007,Lilie no Atelier: Salburg no Renkinjutsushi 3,PS2,2001,0,0,0.09,0,0.09
11104,Atelier Totori: The Adventurer of Arland,PSV,2012,0,0,0.09,0,0.09
12091,Judie no Atelier: Guramnat no Renkinjutsushi,PS2,2002,0,0,0.07,0,0.07
12247,Atelier Meruru: Alchemist of Arland 3,PSV,2013,0,0,0.06,0,0.06
13631,Lise no Atelier: Ordre no Renkinjutsushi,DS,2007,0,0,0.04,0,0.04
14491,Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,2010,0,0,0.03,0,0.03
15789,Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PSP,2009,0,0,0.02,0,0.02
15920,Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,2011,0,0,0.02,0,0.02
