Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5668,Shin Momotarou Densetsu,SNES,1993,0,0,0.32,0,0.32
5883,Daikaijyuu Monogatari,SNES,1994,0,0,0.3,0,0.3
5922,Far East of Eden Zero,SNES,1995,0,0,0.3,0,0.3
6463,Beyblade: Metal Fusion,DS,2009,0.08,0.03,0.14,0.01,0.26
6587,Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV,SAT,1997,0,0,0.26,0,0.26
8417,Far East of Eden II: Manji Maru,PS2,2003,0,0,0.17,0,0.17
9758,Daikaijyuu Monogatari II,SNES,1996,0,0,0.12,0,0.12
12113,Zettai Onkan Otoda Master,DS,2007,0,0,0.07,0,0.07
14175,Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,DS,2011,0,0,0.03,0,0.03
15494,PC Engine Best Collection: Tengai Makyou Collection,PSP,2008,0,0,0.02,0,0.02
16220,Far East of Eden II: Manji Maru,DS,2006,0,0,0.01,0,0.01
16523,Tengai Makyo: Dai Yon no Mokushiroku,PSP,2006,0,0,0.01,0,0.01
