Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7860,Hyperdevotion Noire: Goddess Black Heart,PSV,2014,0.08,0.02,0.06,0.03,0.19
9946,Makai Shin Trillion,PSV,2014,0.02,0.02,0.06,0.01,0.12
11175,Spectral Force 3,X360,2006,0.08,0,0,0.01,0.09
13226,Neverland Card Battles,PSP,2008,0.04,0,0,0.01,0.05
13235,Blazing Souls: Accelate,PSP,2009,0.04,0,0.01,0,0.05
13240,Next Generation of Chaos,PS2,2002,0,0,0.05,0,0.05
14400,Jikandia: The Timeless Land,PSP,2010,0.03,0,0,0,0.03
14639,Spectral Souls: Resurrection of the Ethereal Empires,PSP,2005,0.03,0,0,0,0.03
14862,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PSV,2015,0,0.01,0.01,0,0.03
15478,Black Rose Valkyrie,PS4,2016,0,0,0.02,0,0.02
15645,Blazing Souls,PS2,2006,0,0,0.02,0,0.02
15716,Aedis Eclipse: Generation of Chaos,PSP,2006,0.02,0,0,0,0.02
16249,Agarest Senki: Re-appearance,PS3,N/A,0,0,0.01,0,0.01
