Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3629,Lunar: Silver Star Story Complete,PS,1998,0.27,0.18,0.06,0.04,0.55
5339,Lunar 2: Eternal Blue Complete,PS,1999,0.19,0.13,0,0.02,0.35
7024,Lunar: Silver Star Story,SAT,1996,0,0,0.23,0,0.23
7331,Lunar: Silver Star Story Complete,SAT,1997,0,0,0.21,0,0.21
9964,Lunar 2: Eternal Blue,SAT,1998,0,0,0.12,0,0.12
11420,Slayers Royal,PS,1998,0,0,0.08,0.01,0.08
11651,Slayers Royal 2,SAT,1998,0,0,0.08,0,0.08
12022,The Legend of Heroes: Trails in the Sky First Chapter,PSV,2015,0,0,0.07,0,0.07
12604,Metal Max 4: Gekkou no Diva,3DS,2013,0,0,0.06,0,0.06
15562,Earth Seeker,Wii,2011,0,0,0.02,0,0.02
16234,Densetsu no Yuusha no Densetsu: Legendary Saga,PSP,2010,0,0,0.01,0,0.01
